Node1 	Node2 	Distance	 Time	 Settled
209956	148291	74156	77	61194
177361	67048	82203	50	50858
158115	149764	33015	31	26171
155142	160484	3029	2	193
52880	305102	56524	53	52479
290182	115892	34561	54	54522
262744	214829	16918	14	18344
269900	49621	78600	75	78537
117833	151823	28983	37	43427
267197	186406	9297	8	9204
26476	180488	30812	22	25610
267776	66017	44289	37	43345
63194	260337	42520	16	20232
43227	185283	22101	17	16145
72600	300135	24411	4	4843
176070	44958	30685	15	19227
29658	263257	37469	43	32302
225002	170423	32171	15	19204
172034	158709	18672	4	5836
281516	104251	89805	121	104662
57040	39524	16580	0	1166
306230	112717	48914	62	61939
243711	12750	84317	81	82572
281839	234963	13064	16	18348
253090	81885	155976	98	97141
274987	248509	84558	83	86523
145045	165667	16671	15	17366
96554	168776	50366	73	72389
237341	241793	12583	15	17074
59000	122168	109382	58	65336
19308	133669	37531	42	45854
147889	33322	90569	56	59359
251907	34629	58622	89	86844
154327	161692	119750	77	58738
146713	293307	17360	13	15452
175520	105578	22276	34	36755
33488	216496	75394	81	69218
205557	257532	64618	90	76917
84290	64870	33705	7	6409
158490	61706	99485	89	95009
282744	223716	16479	14	18484
167518	284188	15988	19	18824
206901	151755	20018	48	40502
257944	115573	51493	13	17023
230300	75632	19254	25	29859
70607	308651	81669	27	31279
179547	43761	63537	73	78038
276395	128136	67680	24	28419
260060	2604	50480	51	52080
116179	43717	63609	66	67820
256469	309702	105817	33	38462
22390	117004	60531	90	89485
159261	228273	41360	62	59009
255886	207077	33747	14	18230
119042	258827	69463	60	59155
212428	191251	21451	21	23797
184230	195198	19551	30	29176
186503	220790	35701	40	43831
88560	244463	26886	5	7823
212685	22594	26600	54	51915
129964	131955	57868	19	24409
25019	294304	22579	16	18014
35889	35278	6271	0	261
211313	11145	18883	26	28613
90043	289407	19424	30	30522
304865	265893	37976	37	40969
57289	203448	50501	67	65233
84871	160209	14875	4	5520
73685	302092	22469	35	38752
1142	198337	88185	57	59854
64270	203530	62737	75	76698
4444	246378	73905	55	58806
73242	186537	28910	13	16994
115799	82547	23766	8	11456
66635	26603	61451	9	12602
290417	147377	88305	59	64598
75633	84977	61630	24	26606
127394	145311	19825	9	11631
182863	73002	17924	13	15718
160564	276265	27209	36	35983
23339	292868	18879	10	10880
193491	108857	17726	11	14432
4690	99548	21345	30	30386
295342	27237	96629	32	35832
60355	286876	51698	73	69880
99131	264670	64294	49	51076
57633	213367	63008	86	81999
146816	225099	11245	5	6566
127579	290166	82401	54	57107
215672	33524	66866	60	55221
150416	28578	60525	37	45292
262091	294294	4927	2	2109
217270	308050	63850	47	50726
75072	118323	120247	40	46602
197058	302816	6817	1	2210
102216	240888	36295	36	38149
180719	235410	23412	40	44153
196581	260173	31062	21	24621
137541	100810	63506	75	77669
52643	199027	132007	86	84245
308481	80770	22290	40	39917
93110	221928	60025	79	79594
170788	87400	32646	50	50417
289102	103320	16265	16	18794
126856	76588	66521	39	47981
160967	171656	10581	2	1912
120588	124235	109934	72	76869
87232	226568	146079	78	83228
121626	18997	86087	129	114972
170502	174888	48313	76	76756
68397	258543	97880	126	119419
186927	283523	8847	8	10043
143013	25496	112916	69	72541
114156	70994	102023	124	95445
33975	294894	39927	39	43004
195852	43687	35985	28	29469
109671	103181	16751	3	4388
107082	127471	65961	36	41268
66028	149095	48567	90	75843
46190	159674	70453	48	50597
223707	20785	71818	30	35578
81084	36545	91270	49	52428
73697	213132	18543	18	21957
286137	35802	48148	67	64755
299611	88193	29560	25	28845
140585	233424	50500	69	65669
85794	115786	63905	77	79813
129200	87748	43049	46	31722
209033	134809	21631	6	9186
168925	103829	39418	62	58108
145851	169626	23276	10	12702
187926	123391	22400	20	23535
217343	126596	62085	12	16660
191537	22078	37932	9	12682
89136	230314	65308	42	47049
92017	265895	115229	60	57925
236268	45551	73918	67	65478
76536	289748	29086	41	44949
257523	180427	58350	62	59782
111263	22655	63399	50	51498
59810	244689	79196	130	105924
64389	104203	74046	117	104057
57609	143637	54406	42	41677
181636	160349	14531	17	19327
264635	163844	30615	45	46795
298260	143531	16028	22	23517
192719	213136	17183	28	30311
290201	64464	45368	50	50991
55549	259197	48773	18	20717
2271	144746	75123	54	55235
1919	67222	183775	130	127176
25948	289121	34354	38	40078
172137	310640	18149	16	20343
200908	122924	65371	17	20938
173823	23111	29213	41	44119
34335	150811	66662	72	73746
59434	256770	44852	7	10432
107401	81736	112732	121	116516
32573	105373	69935	23	27918
633	32498	110930	68	76132
286181	296676	7379	3	4390
93301	152634	52451	28	31743
106332	194027	24006	12	14484
113233	292864	25559	31	31908
204994	137979	21580	9	11195
184681	275586	12889	13	14115
93525	211143	93631	75	75435
307815	7031	19447	13	13702
216186	133311	25187	12	14972
11254	119516	50687	70	70927
167382	196428	27552	53	48422
72854	261490	22029	8	10907
6647	187532	29273	30	33850
172176	285872	78135	12	13088
51455	204440	42282	24	27698
32133	216060	69395	77	78592
177201	200914	9079	12	7915
36185	128513	140723	109	102536
290244	16121	22636	19	22247
132369	200787	18691	5	8261
285774	109585	30815	57	55963
41620	21516	20799	3	5059
14349	216131	29909	16	19344
108722	60271	121100	138	124216
225030	8799	40598	76	71262
59972	222356	50343	73	72123
95969	177890	43971	37	31578
96595	90684	66287	94	76409
286367	94444	45081	69	68185
226874	115750	33885	38	43345
216150	110844	52359	67	59871
244275	46889	40748	9	12432
216733	40092	72698	99	92718
103351	93754	49641	18	23292
225636	296570	13192	20	20397
278998	98503	59385	76	80542
237684	74351	119501	45	48295
19200	18473	21496	7	9689
132495	69736	51058	9	12337
90166	225757	13355	9	12269
172452	288878	8169	2	1972
154995	180580	35959	43	45394
179773	131763	72970	71	76636
266267	210009	10623	13	12703
136108	58835	64985	66	66366
248875	37600	90048	43	48529
267693	80133	24933	11	13327
133455	73791	51852	7	10158
66884	23097	64504	14	18737
139636	80178	50871	69	66658
134908	133964	16384	2	2208
249886	216505	24326	44	43294
123508	94149	14099	5	7395
246720	184468	83341	80	80841
153950	152638	41253	40	43277
233756	291766	10464	11	12456
256296	138168	73950	31	35973
180644	263140	20387	15	20307
250268	97319	4904	0	763
10778	111170	68844	95	95461
217964	203920	1030	1	171
52992	209853	50522	40	44911
100877	227412	15738	9	12268
206957	176913	27851	49	43823
108609	269322	105701	21	15221
249280	165934	30700	12	14600
283889	296739	102467	55	54354
247885	303017	52202	58	53542
289299	214144	3729	1	992
306645	127519	93125	69	70389
30358	148732	44174	70	64573
266272	208160	9094	8	10522
4799	260687	61619	61	61119
28047	236285	90034	54	59420
249776	8196	41862	64	58457
271199	102585	12093	11	3541
256281	180336	75105	69	64472
304786	115312	33131	81	65336
64782	119989	27323	7	9914
84568	153431	76037	113	98693
71937	202160	16694	11	14757
303989	10937	5973	3	3038
242590	241187	8004	5	6357
39353	19472	108935	87	85823
45287	203347	51565	62	61389
76492	309684	51113	58	58610
47250	179295	71285	55	51621
93260	281872	58105	75	63056
60083	158343	94150	34	37605
142164	201470	24733	12	13947
56964	194836	117521	103	98325
289217	49929	86852	61	65832
60031	263175	17315	4	6022
233923	87067	24639	23	25739
136223	130281	9310	1	2113
150338	296063	10421	9	11358
256524	286536	38845	55	56954
210758	105316	32837	46	47691
204156	252698	9096	8	11728
32155	222487	50830	27	27444
62818	37193	32697	6	8648
179949	105420	51841	52	52216
210666	189608	23460	36	38906
28383	130256	43057	8	10637
213221	151612	16590	26	28849
289207	109754	49615	71	70248
97111	147432	130407	127	125225
186889	247308	127050	72	80059
88860	132713	23371	12	9518
280443	120328	40092	31	34935
18392	241566	20459	32	35313
247161	299730	22259	33	37064
94598	146924	21943	28	31658
35423	145559	48705	15	18773
186615	94926	27753	46	45740
219551	79177	11783	9	10329
114965	196947	25437	29	31905
91876	85990	106592	127	118395
198459	176745	14038	24	10609
110205	218093	69534	12	16841
261351	117451	83082	58	53518
154528	245890	3875	2	1342
261983	241567	15623	22	24961
55166	122975	77721	15	21054
158128	135549	8330	1	1258
158154	181466	42343	69	67899
79745	54566	192242	125	125037
89106	216988	23407	8	12053
312006	137044	38328	58	59317
141160	131894	89791	68	74170
137711	177497	37085	26	30465
260245	266477	47806	69	67384
5187	163912	56416	82	81723
216878	45788	62382	10	12513
127772	181920	35392	78	61772
201516	311689	29283	15	17989
278259	294307	4241	1	1330
201435	267122	19624	18	20209
13903	259286	70778	65	66758
230104	100196	20702	25	27398
221607	217605	27013	43	46071
129930	124000	6005	1	1256
212866	68825	26821	8	10004
199999	182456	13378	14	17037
228872	122292	11946	7	8729
301615	166197	20059	33	35788
22628	118906	72050	54	59171
6985	109929	63928	80	76669
110600	71315	85686	11	14933
283058	78524	29060	36	40829
218613	133357	34517	15	19047
112998	166613	32744	57	53189
230436	47907	96091	25	31475
1005	99678	123586	96	79930
282259	197563	59713	86	84283
123596	63937	94847	29	36423
173491	132888	28010	24	27237
14486	10846	14341	19	20060
287736	4444	5576	3	3581
57031	37163	59331	11	15725
155260	209788	29076	29	24813
174523	77421	47701	39	45805
221533	156827	127110	48	49082
276104	40036	48192	59	60968
17211	147398	128464	131	123965
144871	198399	29108	74	57651
69324	309067	75618	79	78552
159815	254071	116669	57	62501
158279	160744	17870	3	4624
20526	23102	61608	108	92002
249221	45696	75521	87	90966
103797	277198	135868	79	81833
231433	185309	22086	38	41309
153996	280612	16118	2	2815
175668	248739	66853	70	68374
15132	229225	3690	1	1113
101151	153560	30168	37	40617
99345	57094	41822	6	9221
134723	150532	60790	46	48670
180256	187387	9460	8	10040
235772	28776	55094	67	65065
113532	203957	68403	68	70636
92052	183302	129461	79	83322
282308	45078	95556	47	50291
115088	299352	16252	9	11275
310489	310021	10786	10	12742
164966	208516	8680	5	7356
37565	85646	68480	15	19959
275398	43411	63493	75	74299
211385	68930	71972	52	56941
307236	295524	15221	12	15305
252356	61527	53153	91	77308
219879	211470	30284	27	29508
155457	9250	21460	33	36213
265238	195866	20227	35	39072
133622	154209	50578	25	29604
144583	300564	18965	28	30105
61786	211666	49407	81	75928
150707	221718	23755	40	44008
125915	45559	119517	34	41115
224552	146699	10751	3	5253
143698	292813	20403	31	28105
240022	290815	10621	12	13441
237443	166865	17808	29	31761
45488	298016	65293	37	43293
196483	41028	26483	33	21943
150690	151754	44584	48	48243
151361	21360	126508	69	77815
208455	290286	8673	7	8248
28052	222789	227656	125	126180
2004	76215	62727	6	7169
168149	306516	31649	43	47982
104752	158561	36502	4	6543
159768	182786	74823	41	38661
43805	175074	50075	57	58364
101073	67974	85065	88	89270
261069	5118	68159	83	83497
100594	26286	90382	36	41699
190795	163987	19950	26	27922
13233	306806	112588	88	91364
172441	213160	19855	20	21727
21197	106560	38087	7	9972
204105	304059	7470	3	4274
161135	287829	73977	36	38547
59862	302010	34697	42	44972
249828	50651	62410	71	66709
57965	91087	85339	89	89736
93893	30103	44043	18	20852
48383	117633	30703	4	5832
75633	119961	33010	6	8003
233151	97720	44747	61	62884
278850	162026	61819	7	9928
285619	293433	3903	1	1113
178226	133384	32075	30	32173
161142	250772	138313	109	105726
35069	242672	40029	29	31318
89462	11137	76825	73	71887
271860	3770	55677	93	92386
103040	196833	29387	16	19311
106148	197711	48047	28	31351
81840	140684	81049	54	53672
109678	255424	18789	3	3951
141594	176132	31270	30	33126
208481	238122	17323	31	30146
39000	203657	47473	64	57988
197025	116750	11220	3	2973
44506	205876	69391	90	89050
37128	117614	74020	27	32946
24966	55752	44416	26	18317
201663	180833	14306	19	20960
113434	120098	88413	78	72470
266661	104593	45808	35	39758
124148	301676	79407	45	47428
178275	70347	68934	70	77120
244685	187649	54221	83	81197
147094	290881	12977	11	13317
155832	88197	11106	1	1327
66177	243782	83702	65	66568
31240	245985	28678	31	32490
96952	186153	40916	38	44759
44149	81964	44123	6	7945
70669	222751	92645	86	67295
177398	251519	23165	40	42871
142086	70645	59934	16	15633
85904	296337	83095	67	69788
308576	86134	45237	82	74758
56633	114592	31735	12	15100
148293	172778	41095	8	10752
87518	251569	27050	14	14996
86511	129245	69708	69	65392
74820	145645	45244	33	36802
49369	161791	114962	61	61753
296822	293255	10060	10	7442
200622	53686	36794	28	29840
18039	232738	103107	58	53409
247314	28735	122576	21	26727
121244	283360	23669	21	21055
267007	230778	27349	41	45209
262757	10941	13958	9	11014
121004	148232	53773	25	29891
196305	308591	43475	74	69695
68216	48985	52162	8	11032
214421	44301	63559	93	84539
290157	302573	17837	29	32459
16994	13368	49226	64	60327
185827	194816	9773	8	9552
46063	117533	98613	78	84276
16809	139922	21956	6	5695
298553	212216	26279	48	49266
128763	279280	51444	7	9429
74684	249883	17849	16	18390
37195	93743	94763	58	56309
122443	134094	50773	7	9601
208036	61895	41609	65	66501
110514	140302	70549	10	11422
96513	47508	55271	38	45192
218243	242587	25361	48	48851
258034	310384	73851	71	68761
87124	53435	26162	7	8114
160167	160384	13393	10	12255
61814	17674	54338	25	26374
303498	311124	27903	32	34149
9489	138127	73404	72	76408
142756	180475	19129	13	12965
284358	89033	26212	35	37800
32597	31636	17748	1	717
261353	225197	34418	26	28836
258257	52019	42007	8	10947
208013	150140	19504	17	20104
207956	160928	38018	23	26864
214854	165451	15912	21	22942
258923	144352	44544	42	42229
214058	177200	8211	5	7158
65525	229457	38388	40	45240
187435	195226	6531	2	2797
253571	216604	73936	64	67248
106505	231752	44467	36	38858
17077	181671	25302	42	44637
17111	79604	28674	28	32785
99587	85245	128453	104	90804
188585	55817	50011	67	63514
176643	101410	33993	18	23947
167074	278282	12147	5	7265
132094	31884	32983	17	20512
90960	32533	55980	6	9009
27084	292352	92714	64	63553
94935	122554	98497	85	88273
109226	128118	97068	75	78157
243928	118078	78704	76	81952
