Node1 	Node2 	Distance	 Time	 Settled
209956	148291	2147483647	12	209
177361	67048	2147483647	4	212
158115	149764	2147483647	6	102
155142	160484	3641	7	39
52880	305102	2147483647	7	101
290182	115892	2147483647	10	95
262744	214829	2147483647	11	251
269900	49621	2147483647	11	125
117833	151823	2147483647	10	78
267197	186406	2147483647	7	98
26476	180488	2147483647	763	99
267776	66017	2147483647	1	33
63194	260337	70686	2	109
43227	185283	2147483647	3	93
72600	300135	2147483647	2	169
176070	44958	2147483647	1	212
29658	263257	149475	2	113
225002	170423	2147483647	1	94
172034	158709	2147483647	1	63
281516	104251	2147483647	2	169
57040	39524	18052	2	107
306230	112717	2147483647	1	232
243711	12750	2147483647	2	183
281839	234963	2147483647	1	113
253090	81885	2147483647	1	230
274987	248509	2147483647	2	239
145045	165667	2147483647	1	122
96554	168776	2147483647	1	230
237341	241793	2147483647	1	120
59000	122168	2147483647	1	177
19308	133669	2147483647	1	173
147889	33322	2147483647	1	87
251907	34629	2147483647	2	265
154327	161692	2147483647	1	175
146713	293307	2147483647	0	109
175520	105578	2147483647	1	73
33488	216496	2147483647	2	103
205557	257532	2147483647	1	104
84290	64870	46942	2	259
158490	61706	2147483647	1	158
282744	223716	2147483647	1	73
167518	284188	2147483647	1	173
206901	151755	2147483647	2	166
257944	115573	2147483647	1	186
230300	75632	2147483647	1	197
70607	308651	2147483647	1	152
179547	43761	2147483647	1	44
276395	128136	2147483647	1	83
260060	2604	2147483647	1	196
116179	43717	2147483647	1	89
256469	309702	2147483647	2	123
22390	117004	2147483647	0	5
159261	228273	2147483647	1	223
255886	207077	48979	2	181
119042	258827	2147483647	2	114
212428	191251	2147483647	1	87
184230	195198	2147483647	1	152
186503	220790	2147483647	1	106
88560	244463	2147483647	1	78
212685	22594	2147483647	1	72
129964	131955	2147483647	2	195
25019	294304	2147483647	0	85
35889	35278	8109	1	110
211313	11145	2147483647	1	83
90043	289407	2147483647	1	61
304865	265893	2147483647	1	122
57289	203448	2147483647	1	134
84871	160209	2147483647	1	77
73685	302092	2147483647	1	247
1142	198337	2147483647	1	174
64270	203530	2147483647	1	75
4444	246378	2147483647	1	190
73242	186537	2147483647	2	181
115799	82547	30393	1	72
66635	26603	93446	1	138
290417	147377	2147483647	1	55
75633	84977	2147483647	1	110
127394	145311	35962	1	112
182863	73002	2147483647	1	8
160564	276265	2147483647	0	78
23339	292868	2147483647	1	75
193491	108857	2147483647	1	168
4690	99548	2147483647	1	4
295342	27237	2147483647	0	25
60355	286876	2147483647	2	224
99131	264670	2147483647	1	100
57633	213367	2147483647	1	95
146816	225099	2147483647	0	89
127579	290166	2147483647	1	144
215672	33524	2147483647	2	114
150416	28578	2147483647	1	84
262091	294294	2147483647	1	1
217270	308050	2147483647	1	69
75072	118323	2147483647	5	152
197058	302816	8784	1	163
102216	240888	2147483647	1	204
180719	235410	2147483647	1	152
196581	260173	2147483647	2	209
137541	100810	2147483647	2	189
52643	199027	2147483647	2	185
308481	80770	2147483647	1	104
93110	221928	2147483647	2	181
170788	87400	2147483647	1	40
289102	103320	2147483647	1	129
126856	76588	2147483647	1	101
160967	171656	2147483647	1	174
120588	124235	2147483647	1	78
87232	226568	2147483647	1	187
121626	18997	2147483647	2	172
170502	174888	2147483647	1	21
68397	258543	2147483647	2	193
186927	283523	2147483647	1	78
143013	25496	2147483647	1	168
114156	70994	2147483647	1	98
33975	294894	2147483647	1	80
195852	43687	2147483647	1	134
109671	103181	2147483647	1	160
107082	127471	2147483647	0	100
66028	149095	2147483647	2	215
46190	159674	84384	2	212
223707	20785	2147483647	1	65
81084	36545	2147483647	2	181
73697	213132	23221	1	247
286137	35802	2147483647	1	83
299611	88193	2147483647	2	63
140585	233424	2147483647	1	60
85794	115786	2147483647	2	131
129200	87748	2147483647	1	73
209033	134809	27273	1	146
168925	103829	2147483647	2	225
145851	169626	2147483647	1	109
187926	123391	2147483647	1	25
217343	126596	2147483647	2	139
191537	22078	2147483647	2	212
89136	230314	2147483647	0	79
92017	265895	2147483647	1	184
236268	45551	2147483647	2	184
76536	289748	2147483647	1	87
257523	180427	2147483647	1	101
111263	22655	2147483647	1	67
59810	244689	2147483647	1	192
64389	104203	2147483647	1	59
57609	143637	2147483647	1	97
181636	160349	2147483647	0	134
264635	163844	2147483647	2	254
298260	143531	2147483647	1	90
192719	213136	2147483647	1	57
290201	64464	2147483647	1	121
55549	259197	2147483647	1	124
2271	144746	2147483647	1	127
1919	67222	2147483647	2	232
25948	289121	2147483647	1	108
172137	310640	2147483647	1	42
200908	122924	2147483647	2	165
173823	23111	2147483647	2	109
34335	150811	2147483647	1	101
59434	256770	67141	1	133
107401	81736	2147483647	1	134
32573	105373	2147483647	1	97
633	32498	2147483647	2	213
286181	296676	11252	1	152
93301	152634	2147483647	2	203
106332	194027	2147483647	2	146
113233	292864	2147483647	0	117
204994	137979	30135	1	234
184681	275586	2147483647	1	188
93525	211143	2147483647	1	73
307815	7031	2147483647	1	147
216186	133311	29131	1	58
11254	119516	2147483647	1	142
167382	196428	2147483647	1	92
72854	261490	2147483647	0	3
6647	187532	2147483647	1	29
172176	285872	2147483647	1	76
51455	204440	2147483647	1	90
32133	216060	2147483647	2	136
177201	200914	10211	2	192
36185	128513	2147483647	1	101
290244	16121	2147483647	0	77
132369	200787	41498	2	174
285774	109585	2147483647	1	17
41620	21516	27920	1	202
14349	216131	2147483647	1	116
108722	60271	2147483647	1	152
225030	8799	2147483647	1	180
59972	222356	2147483647	2	177
95969	177890	2147483647	1	191
96595	90684	2147483647	1	110
