Node1 	Node2 	Distance	 Time	 Settled
209956	148291	2147483647	10	149
177361	67048	2147483647	2	50
158115	149764	2147483647	5	42
155142	160484	3702	6	55
52880	305102	2147483647	6	43
290182	115892	2147483647	7	27
262744	214829	2147483647	6	54
269900	49621	2147483647	6	12
117833	151823	2147483647	6	93
267197	186406	2147483647	7	170
26476	180488	2147483647	8	60
267776	66017	2147483647	6	45
63194	260337	2147483647	5	53
43227	185283	2147483647	171	73
72600	300135	2147483647	0	80
176070	44958	2147483647	3	62
29658	263257	2147483647	1	1
225002	170423	2147483647	1	76
172034	158709	2147483647	2	120
281516	104251	2147483647	2	101
57040	39524	19206	1	122
306230	112717	2147483647	1	24
243711	12750	2147483647	1	25
281839	234963	2147483647	1	42
253090	81885	2147483647	1	88
274987	248509	2147483647	2	72
145045	165667	2147483647	2	100
96554	168776	2147483647	1	78
237341	241793	2147483647	2	46
59000	122168	2147483647	2	79
19308	133669	2147483647	1	54
147889	33322	2147483647	1	97
251907	34629	2147483647	1	85
154327	161692	2147483647	1	137
146713	293307	2147483647	2	64
175520	105578	2147483647	1	51
33488	216496	2147483647	1	129
205557	257532	2147483647	1	58
84290	64870	41063	1	73
158490	61706	2147483647	1	115
282744	223716	2147483647	1	36
167518	284188	2147483647	1	94
206901	151755	2147483647	1	116
257944	115573	2147483647	1	82
230300	75632	2147483647	1	28
70607	308651	2147483647	1	76
179547	43761	2147483647	0	122
276395	128136	2147483647	1	82
260060	2604	2147483647	1	19
116179	43717	2147483647	1	95
256469	309702	2147483647	1	92
22390	117004	2147483647	0	2
159261	228273	2147483647	0	85
255886	207077	2147483647	1	79
119042	258827	2147483647	1	131
212428	191251	2147483647	1	55
184230	195198	2147483647	1	111
186503	220790	2147483647	0	93
88560	244463	38272	1	139
212685	22594	2147483647	1	57
129964	131955	2147483647	1	104
25019	294304	2147483647	1	86
35889	35278	7489	1	66
211313	11145	2147483647	1	46
90043	289407	2147483647	0	116
304865	265893	2147483647	0	118
57289	203448	2147483647	1	87
84871	160209	2147483647	0	77
73685	302092	2147483647	1	118
1142	198337	2147483647	1	78
64270	203530	2147483647	0	93
4444	246378	2147483647	1	84
73242	186537	2147483647	1	102
115799	82547	28621	1	84
66635	26603	2147483647	0	72
290417	147377	2147483647	0	30
75633	84977	2147483647	0	59
127394	145311	2147483647	0	92
182863	73002	2147483647	0	19
160564	276265	2147483647	0	36
23339	292868	25794	0	82
193491	108857	2147483647	0	7
4690	99548	2147483647	1	4
295342	27237	2147483647	0	72
60355	286876	2147483647	0	14
99131	264670	2147483647	1	119
57633	213367	2147483647	0	111
146816	225099	2147483647	0	134
127579	290166	2147483647	0	78
215672	33524	2147483647	0	47
150416	28578	2147483647	1	134
262091	294294	2147483647	0	106
217270	308050	2147483647	1	320
75072	118323	2147483647	1	84
197058	302816	7527	1	105
102216	240888	2147483647	1	152
180719	235410	2147483647	620	66
196581	260173	2147483647	1	169
137541	100810	2147483647	0	90
52643	199027	2147483647	1	44
308481	80770	2147483647	2	170
93110	221928	2147483647	1	83
170788	87400	2147483647	0	63
289102	103320	2147483647	1	75
126856	76588	2147483647	1	38
160967	171656	2147483647	1	108
120588	124235	2147483647	1	134
87232	226568	2147483647	0	86
121626	18997	2147483647	1	81
170502	174888	2147483647	1	41
68397	258543	2147483647	1	112
186927	283523	2147483647	1	42
143013	25496	2147483647	0	45
114156	70994	2147483647	1	70
33975	294894	2147483647	1	87
195852	43687	2147483647	1	35
109671	103181	2147483647	1	61
107082	127471	2147483647	1	106
66028	149095	2147483647	1	161
46190	159674	2147483647	2	82
223707	20785	2147483647	0	67
81084	36545	2147483647	1	102
73697	213132	2147483647	1	113
286137	35802	2147483647	1	123
299611	88193	2147483647	1	96
140585	233424	2147483647	1	86
85794	115786	2147483647	1	28
129200	87748	2147483647	0	45
209033	134809	2147483647	1	52
168925	103829	2147483647	1	39
145851	169626	2147483647	0	117
187926	123391	2147483647	0	116
217343	126596	2147483647	1	113
191537	22078	2147483647	1	89
89136	230314	2147483647	1	60
92017	265895	2147483647	0	48
236268	45551	2147483647	1	117
76536	289748	2147483647	1	76
257523	180427	2147483647	1	91
111263	22655	2147483647	1	85
59810	244689	2147483647	1	89
64389	104203	2147483647	0	74
57609	143637	2147483647	1	128
181636	160349	2147483647	1	90
264635	163844	2147483647	1	74
298260	143531	2147483647	0	78
192719	213136	2147483647	1	72
290201	64464	2147483647	1	51
55549	259197	2147483647	0	109
2271	144746	2147483647	1	117
1919	67222	2147483647	1	89
25948	289121	2147483647	0	86
172137	310640	2147483647	1	63
200908	122924	2147483647	1	64
173823	23111	2147483647	0	46
34335	150811	2147483647	1	122
59434	256770	2147483647	1	76
107401	81736	2147483647	1	60
32573	105373	2147483647	0	37
633	32498	2147483647	1	92
286181	296676	9929	0	152
93301	152634	2147483647	2	104
106332	194027	2147483647	1	64
113233	292864	2147483647	1	7
204994	137979	2147483647	0	68
184681	275586	2147483647	1	85
93525	211143	2147483647	1	115
307815	7031	2147483647	0	101
216186	133311	26840	0	17
11254	119516	2147483647	1	117
167382	196428	2147483647	1	61
72854	261490	2147483647	1	127
6647	187532	2147483647	1	59
172176	285872	2147483647	1	100
51455	204440	2147483647	0	118
32133	216060	2147483647	1	75
177201	200914	2147483647	0	95
36185	128513	2147483647	1	61
290244	16121	2147483647	1	105
132369	200787	19748	4	34
285774	109585	2147483647	1	114
41620	21516	28481	0	97
14349	216131	2147483647	0	60
108722	60271	2147483647	1	111
225030	8799	2147483647	0	61
59972	222356	2147483647	1	154
95969	177890	2147483647	1	88
96595	90684	2147483647	1	32
286367	94444	2147483647	1	114
226874	115750	2147483647	1	37
216150	110844	2147483647	0	2
244275	46889	2147483647	1	109
216733	40092	2147483647	1	90
103351	93754	2147483647	1	93
225636	296570	2147483647	1	88
278998	98503	2147483647	1	82
237684	74351	2147483647	1	92
19200	18473	2147483647	1	97
132495	69736	85891	1	114
90166	225757	2147483647	2	113
172452	288878	2147483647	1	67
154995	180580	2147483647	0	60
179773	131763	2147483647	1	134
266267	210009	12628	0	52
136108	58835	2147483647	1	131
248875	37600	2147483647	0	129
267693	80133	34732	1	109
133455	73791	2147483647	1	50
66884	23097	2147483647	1	61
139636	80178	2147483647	0	92
134908	133964	19064	1	105
249886	216505	2147483647	0	2
123508	94149	18380	1	107
246720	184468	2147483647	1	89
153950	152638	2147483647	1	39
233756	291766	2147483647	1	28
256296	138168	2147483647	1	83
180644	263140	2147483647	0	23
250268	97319	6532	1	184
10778	111170	2147483647	0	107
217964	203920	1106	1	104
52992	209853	2147483647	2	126
100877	227412	2147483647	1	73
206957	176913	2147483647	1	107
108609	269322	2147483647	1	84
249280	165934	2147483647	0	2
283889	296739	2147483647	1	68
247885	303017	2147483647	1	99
289299	214144	2147483647	0	68
306645	127519	2147483647	1	46
30358	148732	2147483647	1	78
266272	208160	2147483647	1	23
4799	260687	2147483647	1	191
28047	236285	2147483647	1	110
249776	8196	2147483647	0	48
271199	102585	2147483647	1	138
256281	180336	2147483647	1	78
304786	115312	2147483647	1	82
64782	119989	2147483647	1	94
84568	153431	2147483647	1	60
71937	202160	2147483647	1	96
303989	10937	2147483647	1	2
242590	241187	2147483647	0	36
39353	19472	2147483647	1	132
45287	203347	2147483647	1	71
76492	309684	165419	1	172
47250	179295	2147483647	0	84
93260	281872	2147483647	1	107
60083	158343	2147483647	1	76
142164	201470	2147483647	1	92
56964	194836	2147483647	1	112
289217	49929	2147483647	0	12
60031	263175	20220	1	66
233923	87067	2147483647	1	125
136223	130281	2147483647	0	36
150338	296063	2147483647	1	82
