Node1 	Node2 	Distance	 Time	 Settled
209956	148291	74156	31	287
177361	67048	2147483647	4	223
158115	149764	2147483647	2	318
155142	160484	3029	6	338
52880	305102	2147483647	0	9
290182	115892	2147483647	3	246
262744	214829	16918	4	248
269900	49621	2147483647	2	283
117833	151823	2147483647	5	4
267197	186406	9297	6	251
26476	180488	30812	6	352
267776	66017	44289	6	339
63194	260337	42520	6	266
43227	185283	2147483647	2	15
72600	300135	2147483647	3	317
176070	44958	2147483647	3	231
29658	263257	2147483647	2	299
225002	170423	32171	4	218
172034	158709	18672	4	351
281516	104251	2147483647	3	2
57040	39524	2147483647	4	34
306230	112717	2147483647	3	284
243711	12750	84317	6	216
281839	234963	13064	5	243
253090	81885	2147483647	0	6
274987	248509	2147483647	2	321
145045	165667	16671	4	250
96554	168776	2147483647	0	11
237341	241793	12583	6	259
59000	122168	2147483647	2	304
19308	133669	2147483647	2	326
147889	33322	2147483647	4	1
251907	34629	58622	5	349
154327	161692	2147483647	2	225
146713	293307	2147483647	4	371
175520	105578	22276	5	196
33488	216496	2147483647	0	9
205557	257532	64618	6	328
84290	64870	2147483647	2	224
158490	61706	2147483647	3	6
282744	223716	16479	6	196
167518	284188	2147483647	2	3
206901	151755	20018	5	277
257944	115573	2147483647	2	260
230300	75632	19254	6	258
70607	308651	2147483647	3	4
179547	43761	63537	6	185
276395	128136	2147483647	3	295
260060	2604	50480	5	302
116179	43717	63609	6	271
256469	309702	2147483647	0	3
22390	117004	2147483647	3	302
159261	228273	2147483647	2	5
255886	207077	2147483647	4	20
119042	258827	69463	6	278
212428	191251	21451	4	104
184230	195198	2147483647	16	3
186503	220790	2147483647	2	3
88560	244463	2147483647	3	337
212685	22594	2147483647	0	5
129964	131955	57868	5	249
25019	294304	22579	6	339
35889	35278	6271	6	251
211313	11145	18883	5	295
90043	289407	19424	17	338
304865	265893	2147483647	3	342
57289	203448	50501	4	249
84871	160209	2147483647	1	2
73685	302092	2147483647	3	273
1142	198337	2147483647	3	6
64270	203530	62737	5	275
4444	246378	2147483647	3	220
73242	186537	28910	5	232
115799	82547	23766	5	254
66635	26603	2147483647	1	9
290417	147377	2147483647	3	256
75633	84977	2147483647	2	270
127394	145311	19825	5	362
182863	73002	2147483647	1	55
160564	276265	27209	4	213
23339	292868	2147483647	3	346
193491	108857	17726	5	221
4690	99548	21345	5	237
295342	27237	2147483647	2	183
60355	286876	2147483647	2	5
99131	264670	2147483647	1	11
57633	213367	2147483647	3	359
146816	225099	11245	6	271
127579	290166	2147483647	0	41
215672	33524	66866	7	257
150416	28578	2147483647	3	212
262091	294294	2147483647	2	205
217270	308050	2147483647	3	370
75072	118323	2147483647	0	14
197058	302816	6817	6	239
102216	240888	36295	5	300
180719	235410	2147483647	2	264
196581	260173	2147483647	3	235
137541	100810	2147483647	3	5
52643	199027	2147483647	1	7
308481	80770	2147483647	3	266
93110	221928	2147483647	3	22
170788	87400	32646	4	333
289102	103320	16265	6	251
126856	76588	2147483647	3	241
160967	171656	2147483647	2	270
120588	124235	2147483647	2	303
87232	226568	2147483647	2	7
121626	18997	2147483647	3	303
170502	174888	2147483647	3	9
68397	258543	2147483647	3	8
186927	283523	8847	6	285
143013	25496	2147483647	2	231
114156	70994	2147483647	2	248
33975	294894	2147483647	4	293
195852	43687	2147483647	3	246
109671	103181	2147483647	3	290
107082	127471	2147483647	1	22
66028	149095	2147483647	2	2
46190	159674	2147483647	3	7
223707	20785	2147483647	2	330
81084	36545	2147483647	3	2
73697	213132	18543	3	275
