Node1 	Node2 	Distance	 Time	 Settled
209956	148291	74156	354	293741
177361	67048	82203	134	292681
158115	149764	33015	36	94455
155142	160484	3029	0	1022
52880	305102	56524	61	140195
290182	115892	34561	102	203979
262744	214829	16918	20	52732
269900	49621	78600	120	287690
117833	151823	28983	49	114164
267197	186406	9297	17	42303
26476	180488	30812	26	63996
267776	66017	44289	89	199157
63194	260337	42520	71	157713
43227	185283	22101	14	39460
72600	300135	24411	20	49291
176070	44958	30685	94	187201
29658	263257	37469	61	139545
225002	170423	32171	72	175956
172034	158709	18672	17	43744
281516	104251	89805	104	247145
57040	39524	16580	1	2708
306230	112717	48914	111	248643
243711	12750	84317	127	295927
281839	234963	13064	26	69612
253090	81885	155976	127	273313
274987	248509	84558	120	283719
145045	165667	16671	31	78447
96554	168776	50366	108	236669
237341	241793	12583	33	85641
59000	122168	109382	127	287272
19308	133669	37531	93	198691
147889	33322	90569	110	251486
251907	34629	58622	106	249722
154327	161692	119750	127	308218
146713	293307	17360	23	58949
175520	105578	22276	57	135498
33488	216496	75394	88	192483
205557	257532	64618	113	268241
84290	64870	33705	71	153922
158490	61706	99485	108	264642
282744	223716	16479	38	97398
167518	284188	15988	28	70846
206901	151755	20018	50	111616
257944	115573	51493	16	45882
230300	75632	19254	52	122619
70607	308651	81669	51	118607
179547	43761	63537	112	268918
276395	128136	67680	145	280986
260060	2604	50480	78	192612
116179	43717	63609	108	244322
256469	309702	105817	54	138156
22390	117004	60531	106	242656
159261	228273	41360	87	170019
255886	207077	33747	11	33359
119042	258827	69463	41	102510
212428	191251	21451	51	114669
184230	195198	19551	40	94378
186503	220790	35701	90	198160
88560	244463	26886	25	60441
212685	22594	26600	65	156647
129964	131955	57868	117	259745
25019	294304	22579	17	46363
35889	35278	6271	0	994
211313	11145	18883	30	74265
90043	289407	19424	41	86447
304865	265893	37976	41	93634
57289	203448	50501	96	197395
84871	160209	14875	7	20909
73685	302092	22469	46	100649
1142	198337	88185	64	153125
64270	203530	62737	90	192413
4444	246378	73905	120	292623
73242	186537	28910	22	52869
115799	82547	23766	17	47091
66635	26603	61451	8	24049
290417	147377	88305	125	300160
75633	84977	61630	77	191695
127394	145311	19825	9	24708
182863	73002	17924	46	106934
160564	276265	27209	45	103354
23339	292868	18879	11	32389
193491	108857	17726	30	78980
4690	99548	21345	72	143247
295342	27237	96629	126	303932
60355	286876	51698	68	165746
99131	264670	64294	79	188686
57633	213367	63008	92	205526
146816	225099	11245	13	36478
127579	290166	82401	58	138842
215672	33524	66866	115	277145
150416	28578	60525	114	271771
262091	294294	4927	5	15143
217270	308050	63850	142	270795
75072	118323	120247	125	287799
197058	302816	6817	5	10790
102216	240888	36295	34	90183
180719	235410	23412	59	131723
196581	260173	31062	77	187507
137541	100810	63506	119	272987
52643	199027	132007	90	210418
308481	80770	22290	59	141131
93110	221928	60025	76	193177
170788	87400	32646	75	183817
289102	103320	16265	37	94351
126856	76588	66521	119	269886
160967	171656	10581	1	5293
120588	124235	109934	129	305251
87232	226568	146079	75	192196
121626	18997	86087	118	275823
170502	174888	48313	84	196424
68397	258543	97880	137	279281
186927	283523	8847	14	39206
143013	25496	112916	129	305227
114156	70994	102023	123	295190
33975	294894	39927	46	105585
195852	43687	35985	100	206679
109671	103181	16751	4	12848
107082	127471	65961	93	202249
66028	149095	48567	92	188689
46190	159674	70453	71	182562
223707	20785	71818	125	285727
81084	36545	91270	99	216681
73697	213132	18543	27	69289
286137	35802	48148	118	243256
299611	88193	29560	76	186063
140585	233424	50500	75	178960
85794	115786	63905	100	212188
129200	87748	43049	95	191212
209033	134809	21631	34	83888
168925	103829	39418	93	198519
145851	169626	23276	35	88089
187926	123391	22400	59	133278
217343	126596	62085	111	259150
191537	22078	37932	61	142970
89136	230314	65308	57	129425
92017	265895	115229	39	101724
236268	45551	73918	123	286456
76536	289748	29086	52	127668
257523	180427	58350	66	157437
111263	22655	63399	56	137924
59810	244689	79196	109	258763
64389	104203	74046	113	257146
57609	143637	54406	60	143809
181636	160349	14531	40	81015
264635	163844	30615	58	138777
298260	143531	16028	44	99220
192719	213136	17183	50	109007
290201	64464	45368	108	240239
55549	259197	48773	41	93128
2271	144746	75123	54	123718
1919	67222	183775	116	295317
25948	289121	34354	48	114235
172137	310640	18149	27	70060
200908	122924	65371	115	273436
173823	23111	29213	76	184615
34335	150811	66662	75	175962
59434	256770	44852	98	205004
107401	81736	112732	122	299390
32573	105373	69935	118	227714
633	32498	110930	111	266266
286181	296676	7379	10	26611
93301	152634	52451	35	91634
106332	194027	24006	18	46463
113233	292864	25559	46	101388
204994	137979	21580	64	117261
184681	275586	12889	35	72782
93525	211143	93631	90	199465
307815	7031	19447	49	105804
216186	133311	25187	65	148969
11254	119516	50687	104	227730
167382	196428	27552	60	136488
72854	261490	22029	57	105671
6647	187532	29273	48	109234
172176	285872	78135	122	282996
51455	204440	42282	22	56185
32133	216060	69395	74	182343
177201	200914	9079	15	28764
36185	128513	140723	135	304127
290244	16121	22636	69	153578
132369	200787	18691	8	22724
285774	109585	30815	77	189232
41620	21516	20799	3	11041
14349	216131	29909	15	44065
108722	60271	121100	127	289297
225030	8799	40598	103	213515
59972	222356	50343	77	180515
95969	177890	43971	27	72819
96595	90684	66287	118	265298
286367	94444	45081	106	237782
226874	115750	33885	92	198466
216150	110844	52359	102	235992
244275	46889	40748	69	162893
216733	40092	72698	126	286796
103351	93754	49641	109	243322
225636	296570	13192	34	81406
278998	98503	59385	114	270747
237684	74351	119501	131	307949
19200	18473	21496	48	112772
132495	69736	51058	15	42199
90166	225757	13355	14	38073
172452	288878	8169	3	8971
154995	180580	35959	68	130837
179773	131763	72970	120	283281
266267	210009	10623	18	46752
136108	58835	64985	109	244226
248875	37600	90048	106	255876
267693	80133	24933	27	65396
133455	73791	51852	91	208744
66884	23097	64504	13	39834
139636	80178	50871	108	208386
134908	133964	16384	2	8056
249886	216505	24326	61	141151
123508	94149	14099	6	21206
246720	184468	83341	78	164125
153950	152638	41253	95	209197
233756	291766	10464	16	42271
256296	138168	73950	64	141093
180644	263140	20387	54	127868
250268	97319	4904	2	3814
10778	111170	68844	118	269958
217964	203920	1030	0	372
52992	209853	50522	46	109976
100877	227412	15738	16	42720
206957	176913	27851	58	136278
108609	269322	105701	13	37985
249280	165934	30700	17	46297
283889	296739	102467	126	305803
247885	303017	52202	73	140932
289299	214144	3729	4	6978
306645	127519	93125	124	298677
30358	148732	44174	93	202685
266272	208160	9094	14	38168
4799	260687	61619	110	252114
28047	236285	90034	54	135320
249776	8196	41862	96	205216
271199	102585	12093	4	12020
256281	180336	75105	60	141248
304786	115312	33131	73	183079
64782	119989	27323	10	28368
84568	153431	76037	115	272826
71937	202160	16694	22	57790
303989	10937	5973	4	11511
242590	241187	8004	8	23974
39353	19472	108935	112	256698
45287	203347	51565	65	146773
76492	309684	51113	105	230696
47250	179295	71285	56	127495
93260	281872	58105	56	142497
60083	158343	94150	74	183717
142164	201470	24733	14	39526
56964	194836	117521	97	224821
289217	49929	86852	131	300401
60031	263175	17315	5	15280
233923	87067	24639	68	162728
136223	130281	9310	2	7013
150338	296063	10421	15	39422
256524	286536	38845	61	138294
210758	105316	32837	81	194431
204156	252698	9096	17	42539
32155	222487	50830	19	52510
62818	37193	32697	40	92490
179949	105420	51841	118	242373
210666	189608	23460	48	109163
28383	130256	43057	9	25050
213221	151612	16590	45	109147
289207	109754	49615	111	249240
97111	147432	130407	122	303962
186889	247308	127050	125	309263
88860	132713	23371	13	37358
280443	120328	40092	70	160855
18392	241566	20459	53	121780
247161	299730	22259	52	121001
94598	146924	21943	61	120374
35423	145559	48705	14	38319
186615	94926	27753	72	175452
219551	79177	11783	27	71220
114965	196947	25437	56	118239
91876	85990	106592	125	301437
198459	176745	14038	17	44436
110205	218093	69534	8	26637
261351	117451	83082	118	273931
154528	245890	3875	2	4973
261983	241567	15623	41	97602
55166	122975	77721	113	264002
158128	135549	8330	2	6121
158154	181466	42343	92	181076
79745	54566	192242	131	302170
89106	216988	23407	14	36014
312006	137044	38328	89	198242
141160	131894	89791	130	293434
137711	177497	37085	34	83196
260245	266477	47806	77	173972
5187	163912	56416	106	229575
216878	45788	62382	118	263804
127772	181920	35392	65	148581
201516	311689	29283	71	173567
278259	294307	4241	2	7020
201435	267122	19624	55	134772
13903	259286	70778	115	260526
230104	100196	20702	61	143821
221607	217605	27013	80	151137
129930	124000	6005	2	6261
212866	68825	26821	55	128908
199999	182456	13378	20	53480
228872	122292	11946	18	47322
301615	166197	20059	52	121054
22628	118906	72050	132	283681
6985	109929	63928	115	255225
110600	71315	85686	10	30305
283058	78524	29060	80	181472
218613	133357	34517	58	136783
112998	166613	32744	77	170504
230436	47907	96091	122	300806
1005	99678	123586	95	210325
282259	197563	59713	98	213350
123596	63937	94847	95	215125
173491	132888	28010	63	159857
14486	10846	14341	38	95576
287736	4444	5576	6	17718
57031	37163	59331	48	113011
155260	209788	29076	27	68080
174523	77421	47701	103	228963
221533	156827	127110	71	166304
276104	40036	48192	105	243334
17211	147398	128464	125	305598
144871	198399	29108	67	171420
69324	309067	75618	93	203139
159815	254071	116669	122	295086
158279	160744	17870	8	19084
20526	23102	61608	102	227052
249221	45696	75521	107	253526
103797	277198	135868	132	308709
231433	185309	22086	63	149847
153996	280612	16118	8	18389
175668	248739	66853	119	274658
15132	229225	3690	1	4537
101151	153560	30168	64	147475
99345	57094	41822	98	207532
134723	150532	60790	48	111328
180256	187387	9460	22	53114
235772	28776	55094	128	262012
113532	203957	68403	72	180476
92052	183302	129461	94	200498
282308	45078	95556	120	286873
115088	299352	16252	10	28352
310489	310021	10786	25	62180
164966	208516	8680	11	26334
37565	85646	68480	97	221379
275398	43411	63493	117	253870
211385	68930	71972	119	284153
307236	295524	15221	22	51912
252356	61527	53153	105	237413
219879	211470	30284	44	95677
155457	9250	21460	47	105451
265238	195866	20227	51	120580
133622	154209	50578	120	232359
144583	300564	18965	34	87756
61786	211666	49407	98	218529
150707	221718	23755	58	137693
125915	45559	119517	119	274449
224552	146699	10751	14	37623
