Node1 	Node2 	Distance	 Time	 Settled
209956	148291	89215	111	111759
177361	67048	104831	170	286533
158115	149764	42873	30	37818
155142	160484	3770	1	151
52880	305102	75912	147	162800
290182	115892	48942	66	116289
262744	214829	21510	9	12590
269900	49621	107611	133	219741
117833	151823	36034	22	45557
267197	186406	14330	10	24137
26476	180488	41134	13	28058
267776	66017	59299	42	85542
63194	260337	50462	9	16089
43227	185283	26093	6	16576
72600	300135	31274	80	162467
176070	44958	34626	125	227551
29658	263257	48871	18	41797
225002	170423	47434	17	40525
172034	158709	29258	3	6895
281516	104251	108798	184	193249
57040	39524	21968	1	1801
306230	112717	59975	81	110555
243711	12750	103116	94	178915
281839	234963	17040	13	27915
253090	81885	176475	85	167748
274987	248509	115085	125	216575
145045	165667	21433	19	39980
96554	168776	61553	58	106024
237341	241793	15124	7	16280
59000	122168	171737	139	288222
19308	133669	49591	37	66084
147889	33322	109622	188	287055
251907	34629	78392	94	174263
154327	161692	196052	139	293565
146713	293307	22114	11	24846
175520	105578	31473	65	135452
33488	216496	97149	88	161710
205557	257532	84466	86	178632
84290	64870	53082	78	166710
158490	61706	115443	77	153457
282744	223716	21490	11	29020
167518	284188	18872	12	27884
206901	151755	26411	31	67430
257944	115573	61911	6	15773
230300	75632	23862	125	172448
70607	308651	85741	28	62570
179547	43761	85855	132	218378
276395	128136	123039	136	265332
260060	2604	71557	79	146814
116179	43717	75760	132	256181
256469	309702	121353	128	233785
22390	117004	73189	77	135670
159261	228273	49756	58	101730
255886	207077	41802	10	19206
119042	258827	83227	16	33160
212428	191251	32914	41	62312
184230	195198	26825	22	42047
186503	220790	45108	77	60356
88560	244463	37368	3	7707
212685	22594	33362	38	79632
129964	131955	73070	12	30515
25019	294304	26659	4	11267
35889	35278	11963	1	682
211313	11145	24289	20	36134
90043	289407	23113	20	37457
304865	265893	41886	18	37635
57289	203448	56345	84	139567
84871	160209	20210	2	5516
73685	302092	26090	45	87812
1142	198337	110065	68	143114
64270	203530	82704	77	148771
4444	246378	88709	71	113622
73242	186537	35274	3	8363
115799	82547	26235	51	91991
66635	26603	66354	3	10742
290417	147377	100002	143	294944
75633	84977	69214	7	16296
127394	145311	26385	6	15219
182863	73002	26391	27	58843
160564	276265	31746	24	50557
23339	292868	24844	19	42061
193491	108857	31442	51	98755
4690	99548	32960	30	70114
295342	27237	169103	161	276339
60355	286876	65738	37	81702
99131	264670	75250	61	126890
57633	213367	72904	44	90662
146816	225099	11954	5	10569
127579	290166	94659	36	81557
215672	33524	88007	91	184162
150416	28578	78509	64	127551
262091	294294	5038	3	7291
217270	308050	67842	141	265096
75072	118323	142339	26	56800
197058	302816	12920	3	7878
102216	240888	46679	7	20489
180719	235410	32762	41	89438
196581	260173	40366	40	86858
137541	100810	77408	117	221676
52643	199027	146415	71	146440
308481	80770	36620	97	114645
93110	221928	72484	84	158718
170788	87400	43051	43	78180
289102	103320	25212	21	42114
126856	76588	83294	61	103702
160967	171656	20774	13	28830
120588	124235	200601	149	298209
87232	226568	162614	65	126788
121626	18997	107333	129	224842
170502	174888	61349	73	148031
68397	258543	119629	121	237957
186927	283523	9481	10	21462
143013	25496	135463	88	174894
114156	70994	183307	176	298055
33975	294894	52943	20	46832
195852	43687	47209	118	247304
109671	103181	26922	3	6485
107082	127471	77561	107	215799
66028	149095	57452	42	89564
46190	159674	85005	59	105845
223707	20785	92770	45	96159
81084	36545	114284	33	77565
73697	213132	26018	11	27375
286137	35802	59376	61	121626
299611	88193	48504	57	118593
140585	233424	67805	60	117604
85794	115786	77071	56	114177
129200	87748	62702	43	95621
209033	134809	30490	2	5899
168925	103829	48023	36	82344
145851	169626	32830	9	22991
187926	123391	32481	11	27283
217343	126596	110329	163	237473
191537	22078	49004	4	10708
89136	230314	82264	58	110716
92017	265895	134184	31	64290
236268	45551	113426	127	234743
76536	289748	38453	38	73258
257523	180427	82493	51	86669
111263	22655	73837	38	78289
59810	244689	95705	100	161731
64389	104203	88988	82	142404
57609	143637	70881	19	44857
181636	160349	31330	58	99496
264635	163844	43286	85	168753
298260	143531	23189	21	43112
192719	213136	24321	23	48926
290201	64464	58637	108	206688
55549	259197	60020	7	18679
2271	144746	87970	16	41257
1919	67222	207068	113	223887
25948	289121	39459	15	32318
172137	310640	25307	92	76431
200908	122924	118765	135	259205
173823	23111	34642	29	42368
34335	150811	78119	55	107691
59434	256770	63354	11	25947
107401	81736	145714	129	256153
32573	105373	92651	27	63701
633	32498	147401	125	265436
286181	296676	8736	10	23852
93301	152634	74682	28	62958
106332	194027	40143	15	35754
113233	292864	31389	15	35369
204994	137979	41660	16	34380
184681	275586	21654	12	28337
93525	211143	113882	45	95975
307815	7031	33818	19	42777
216186	133311	31242	2	7682
11254	119516	58457	75	157016
167382	196428	39074	59	118374
72854	261490	28031	1	3325
6647	187532	44943	46	94493
172176	285872	89941	159	246145
51455	204440	53676	13	31938
32133	216060	90896	57	100875
177201	200914	10413	5	13383
36185	128513	232267	163	296841
290244	16121	35924	28	64059
132369	200787	28092	5	13585
285774	109585	42687	54	106878
41620	21516	27880	2	4887
14349	216131	31346	13	31003
108722	60271	146647	134	260742
225030	8799	56658	114	200652
59972	222356	62611	47	87603
95969	177890	54367	10	22216
96595	90684	79256	75	128269
286367	94444	57867	98	183878
226874	115750	37746	15	35366
216150	110844	78462	88	160268
244275	46889	59069	14	30925
216733	40092	93624	156	284701
103351	93754	73812	184	255387
225636	296570	19638	19	39614
278998	98503	70411	146	228045
237684	74351	148329	155	282641
19200	18473	25747	18	39445
132495	69736	63044	6	11726
90166	225757	16986	6	15739
172452	288878	10350	1	3670
154995	180580	45199	24	47811
179773	131763	91046	89	169302
266267	210009	13861	19	24131
136108	58835	82098	153	176413
248875	37600	117397	57	113712
267693	80133	31874	7	18239
133455	73791	114460	104	209837
66884	23097	73386	8	20515
139636	80178	67839	59	119581
134908	133964	21609	2	2909
249886	216505	36611	70	143940
123508	94149	19008	4	10412
246720	184468	99186	26	58559
153950	152638	55533	62	127038
233756	291766	16189	9	14453
256296	138168	93459	54	27253
180644	263140	29107	14	30966
250268	97319	12405	2	4527
10778	111170	84322	94	168633
217964	203920	1348	0	205
52992	209853	61277	32	61912
100877	227412	21513	4	9449
206957	176913	46088	62	117850
108609	269322	123580	4	15171
249280	165934	37576	12	29877
283889	296739	111870	163	305354
247885	303017	66886	44	85476
289299	214144	4973	1	2041
306645	127519	154422	143	289778
30358	148732	56689	49	98335
266272	208160	12797	5	13374
4799	260687	75728	83	165555
28047	236285	112186	26	52218
249776	8196	68076	72	141092
271199	102585	15889	1	2006
256281	180336	96214	50	90440
304786	115312	46084	76	120710
64782	119989	41412	5	13737
84568	153431	92508	97	166167
71937	202160	23675	7	19762
303989	10937	10616	17	40416
242590	241187	11554	3	6168
39353	19472	129428	115	146539
45287	203347	68425	112	199388
76492	309684	62164	48	101487
47250	179295	78743	15	35114
93260	281872	75842	51	99693
60083	158343	106065	19	48129
142164	201470	28915	5	16638
56964	194836	140369	113	204126
289217	49929	110765	120	228099
60031	263175	21290	2	4784
233923	87067	29275	108	203773
136223	130281	10190	1	1710
150338	296063	13453	4	10897
256524	286536	51108	37	80084
210758	105316	41294	67	131512
204156	252698	18788	10	22374
32155	222487	70874	11	26837
62818	37193	50812	10	24654
179949	105420	67651	72	141706
210666	189608	33085	37	74967
28383	130256	64052	3	9677
213221	151612	26551	45	95612
289207	109754	63321	64	122858
97111	147432	153525	205	260838
186889	247308	192782	159	298419
88860	132713	42221	4	11987
280443	120328	47975	21	46991
18392	241566	27391	39	82026
247161	299730	27159	60	113998
94598	146924	29379	14	32385
35423	145559	60318	4	10857
186615	94926	35991	61	118563
219551	79177	19489	19	44607
114965	196947	41747	39	82721
91876	85990	136226	144	298838
198459	176745	16472	16	36707
110205	218093	93377	14	36064
261351	117451	97788	28	60771
154528	245890	5265	1	1922
261983	241567	19841	24	53040
55166	122975	143201	90	188027
158128	135549	9343	1	1392
158154	181466	49653	87	122744
79745	54566	233381	151	292145
89106	216988	41969	40	91084
312006	137044	47191	146	80631
141160	131894	112113	84	159563
137711	177497	44310	22	49116
260245	266477	61452	27	60145
5187	163912	71521	142	275847
216878	45788	73949	142	234341
127772	181920	48627	69	108875
201516	311689	34145	151	227205
278259	294307	6207	0	2076
201435	267122	34922	61	76922
13903	259286	82988	62	99540
230104	100196	33672	95	149698
221607	217605	38589	52	97377
129930	124000	8718	1	2503
212866	68825	31910	3	8970
199999	182456	17098	10	22679
228872	122292	20877	7	16336
301615	166197	24303	13	26598
22628	118906	84951	48	87428
6985	109929	80520	110	187837
110600	71315	104318	10	23199
283058	78524	44646	68	113720
218613	133357	53138	15	31081
112998	166613	39833	35	60258
230436	47907	124024	161	275410
1005	99678	145551	71	121344
282259	197563	72634	62	129073
123596	63937	119476	22	49285
173491	132888	35336	28	62018
14486	10846	31827	50	100773
287736	4444	6791	8	20548
57031	37163	66567	3	8700
155260	209788	39687	12	29226
174523	77421	62641	38	83988
221533	156827	155684	28	67004
276104	40036	63591	76	117697
17211	147398	150968	172	307278
144871	198399	34372	64	113268
69324	309067	95799	91	153133
159815	254071	139360	79	146425
158279	160744	23934	2	4694
20526	23102	80705	76	155098
249221	45696	95053	107	196107
103797	277198	177710	173	310369
231433	185309	28554	44	88065
153996	280612	39880	6	15627
175668	248739	83888	73	141783
15132	229225	4313	5	11432
101151	153560	45886	42	82371
99345	57094	54011	6	15470
134723	150532	75028	26	54717
180256	187387	16373	37	77011
235772	28776	66254	70	137962
113532	203957	86862	62	122935
92052	183302	146779	49	101220
282308	45078	112915	140	298125
