Node1 	Node2 	Distance	 Time	 Settled
209956	148291	89166	137	118628
177361	67048	132876	231	281965
158115	149764	42420	32	36594
155142	160484	3770	2	163
52880	305102	74362	188	162420
290182	115892	48081	99	123769
262744	214829	21512	9	13137
269900	49621	103523	165	214919
117833	151823	35857	35	45726
267197	186406	14330	20	24681
26476	180488	41147	21	29312
267776	66017	58035	73	89690
63194	260337	49665	9	14958
43227	185283	27057	13	20164
72600	300135	30022	125	159664
176070	44958	37673	181	229925
29658	263257	48390	29	38517
225002	170423	45980	27	39722
172034	158709	29388	6	6985
281516	104251	106383	216	186152
57040	39524	21968	1	1782
306230	112717	59976	83	110893
243711	12750	102529	141	182072
281839	234963	17040	20	28724
253090	81885	174922	150	188998
274987	248509	111460	171	218417
145045	165667	20905	29	37702
96554	168776	66618	100	133518
237341	241793	15199	13	16132
59000	122168	170075	213	288150
19308	133669	49096	48	63592
147889	33322	108025	271	286402
251907	34629	81376	141	180553
154327	161692	194911	219	293131
146713	293307	22162	18	24884
175520	105578	30891	100	133379
33488	216496	98773	140	166645
205557	257532	81681	128	168985
84290	64870	50820	123	164003
158490	61706	116020	130	158330
282744	223716	21473	21	29461
167518	284188	18917	20	28167
206901	151755	26996	50	66902
257944	115573	62022	10	15839
230300	75632	22408	176	174880
70607	308651	87441	46	63437
179547	43761	89120	186	220497
276395	128136	123068	199	267737
260060	2604	69559	114	147439
116179	43717	76332	195	255235
256469	309702	120465	171	216938
22390	117004	73431	103	136148
159261	228273	47578	68	91647
255886	207077	40309	8	13563
119042	258827	82623	25	35552
212428	191251	33645	48	64572
184230	195198	26726	34	44238
186503	220790	42883	79	52506
88560	244463	37368	4	7415
212685	22594	32240	56	72914
129964	131955	72982	20	31283
25019	294304	29890	12	18838
35889	35278	11963	1	682
211313	11145	24289	25	36017
90043	289407	23432	29	39384
304865	265893	42253	28	40059
57289	203448	59228	117	149278
84871	160209	20210	3	5568
73685	302092	25866	67	85613
1142	198337	111865	114	148041
64270	203530	79962	101	133691
4444	246378	87535	92	113895
73242	186537	32405	5	7560
115799	82547	25439	58	76877
66635	26603	65812	6	10672
290417	147377	99492	239	295158
75633	84977	69426	13	18963
127394	145311	26380	9	14616
182863	73002	26391	43	58371
160564	276265	31694	35	48408
23339	292868	25280	30	42556
193491	108857	30593	89	103302
4690	99548	33199	54	71328
295342	27237	168999	238	277349
60355	286876	63181	69	93805
99131	264670	75790	104	129393
57633	213367	73365	84	100460
146816	225099	11972	11	10365
127579	290166	94382	62	81091
215672	33524	88540	146	187797
150416	28578	80386	106	137668
262091	294294	5038	5	7711
217270	308050	67862	201	265440
75072	118323	143202	43	56588
197058	302816	12911	8	8771
102216	240888	45947	12	19654
180719	235410	32417	64	89014
196581	260173	40673	66	87762
137541	100810	78219	175	223860
52643	199027	151686	169	151881
308481	80770	37438	87	117160
93110	221928	71082	124	161355
170788	87400	42974	60	78824
289102	103320	25232	30	42652
126856	76588	81994	84	100633
160967	171656	20752	18	27602
120588	124235	201340	224	299605
87232	226568	161652	100	129743
121626	18997	107831	191	229925
170502	174888	58673	109	142074
68397	258543	118470	187	235776
186927	283523	9481	17	22277
143013	25496	136422	156	193785
114156	70994	179531	257	298207
33975	294894	49592	21	32996
195852	43687	47209	197	247379
109671	103181	27765	5	6730
107082	127471	75926	167	213836
66028	149095	58941	77	99173
46190	159674	82711	78	103904
223707	20785	94239	86	111187
81084	36545	110273	45	61687
73697	213132	23860	20	24924
286137	35802	59365	94	124763
299611	88193	48444	91	120611
140585	233424	68716	91	117831
85794	115786	73395	83	106556
129200	87748	66632	99	118888
209033	134809	33083	5	7437
168925	103829	47273	63	83832
145851	169626	32249	14	21780
187926	123391	31168	14	20174
217343	126596	112980	214	243196
191537	22078	48525	7	10722
89136	230314	79841	86	103541
92017	265895	132928	45	63797
236268	45551	113047	190	235900
76536	289748	37856	54	73271
257523	180427	82559	67	85601
111263	22655	71915	47	64461
59810	244689	94899	142	158993
64389	104203	89947	109	134480
57609	143637	72649	47	63506
181636	160349	30954	73	97904
264635	163844	41141	121	163472
298260	143531	23118	30	43334
192719	213136	24816	40	50989
290201	64464	55727	164	203837
55549	259197	60211	12	19128
2271	144746	87371	28	41452
1919	67222	209114	232	241773
25948	289121	39439	23	32981
172137	310640	25303	57	74257
200908	122924	120285	192	262812
173823	23111	34770	32	44983
34335	150811	80778	87	115453
59434	256770	64581	20	29102
107401	81736	144333	212	258852
32573	105373	92258	45	64009
633	32498	145903	191	264666
286181	296676	8736	15	23019
93301	152634	79452	60	85610
106332	194027	38529	23	32145
113233	292864	29989	35	33639
204994	137979	41655	24	35174
184681	275586	21654	21	28941
93525	211143	115376	77	100060
307815	7031	33818	29	43126
216186	133311	31242	5	7610
11254	119516	62393	128	166342
167382	196428	39128	91	118728
72854	261490	28031	3	4475
6647	187532	46569	117	100428
172176	285872	92891	187	249154
51455	204440	55131	26	37377
32133	216060	92485	84	108711
177201	200914	10154	9	12838
36185	128513	228055	234	296337
290244	16121	35933	46	64905
132369	200787	28123	10	13910
285774	109585	43183	86	111591
41620	21516	30559	4	5272
14349	216131	31342	21	32748
108722	60271	143808	204	258000
225030	8799	56586	161	199981
59972	222356	62172	65	86374
95969	177890	54542	13	20843
96595	90684	82067	110	142110
286367	94444	57538	140	185299
226874	115750	37428	25	33824
216150	110844	76211	114	151823
244275	46889	59033	58	32613
216733	40092	90317	222	281169
103351	93754	72609	198	253384
225636	296570	22367	35	50814
278998	98503	69822	176	227410
237684	74351	146387	223	280887
19200	18473	25747	27	38717
132495	69736	63226	7	11916
90166	225757	16976	12	16342
172452	288878	10350	2	3646
154995	180580	44310	33	43185
179773	131763	90568	140	170932
266267	210009	13389	18	21873
136108	58835	86250	142	186707
248875	37600	113524	59	77418
267693	80133	33990	22	30190
133455	73791	60102	162	214309
66884	23097	71977	13	19963
139636	80178	63337	76	99041
134908	133964	22650	41	3449
249886	216505	36762	111	144238
123508	94149	19008	7	10976
