Node1 	Node2 	Distance	 Time	 Settled
141702	293233	31344	79	110330
112584	66356	114580	283	236656
148330	125187	92220	105	229075
30675	174335	47818	74	162342
71929	188450	15310	17	38407
28008	185734	50893	58	117745
69923	14336	53700	18	48000
143223	280783	37003	102	181072
233116	62947	24964	57	123906
159701	26242	36627	61	127649
27113	153912	72615	21	55353
87020	293200	30138	66	133250
36566	257950	70050	116	249009
226919	112564	99793	143	299493
266644	127479	78471	118	280124
50923	33894	23492	3	8025
44314	29242	99770	124	290939
411	104126	117527	114	256633
221817	119685	45189	112	222621
108382	162828	57179	108	233226
302491	46046	37619	106	215235
112773	297673	43767	13	35708
13089	9728	53194	76	169234
145369	224639	15239	20	47111
168001	86555	18157	40	93753
24385	52291	36323	76	141484
5946	72917	30404	91	167287
124642	274416	9918	9	22906
301476	131234	71234	120	271139
126488	45570	93832	130	292910
155939	5031	43169	85	194729
140079	176334	65257	106	222493
311186	135082	44666	117	218081
230460	266826	11334	20	49821
57534	66163	134706	126	294925
283886	107457	30616	78	167610
82839	1604	51843	107	226748
221160	174269	27135	53	107333
223093	16077	25796	63	142190
60921	294999	84300	31	81619
281998	120643	33028	32	74438
24142	212174	22076	14	37032
50871	57944	68143	70	152547
112106	83410	51814	79	178327
77789	129432	45538	103	213247
240314	254757	63216	119	269850
74759	220340	74905	107	237943
50283	3098	63653	115	217210
165837	113694	32920	79	176236
58401	222883	35719	17	42855
251760	197832	22639	52	111225
9996	8337	52894	112	235831
205648	71964	87220	123	296944
215154	17076	23626	66	133958
92431	261029	73906	108	228737
223869	240294	19720	36	59858
306720	184577	24628	66	148218
94391	298343	54607	57	130150
232904	92245	60117	123	261142
180960	160425	21518	78	121729
233865	181880	15249	34	75383
66043	192772	21572	7	18241
37355	220733	64591	75	184356
287704	128112	82782	128	294472
144519	165931	17110	33	64976
302897	225006	22262	60	132776
64929	14377	74739	7	17032
260570	259164	39931	103	212012
110453	305238	106076	36	91642
8852	97271	22903	44	94644
18131	175413	64520	56	125942
280745	171313	17319	5	14274
312234	183029	12962	18	44928
95084	232359	44727	36	89489
188546	204495	14361	20	45378
136255	27180	83505	126	284940
109027	190891	31651	42	74036
262716	13043	51857	102	225092
145753	186762	20312	31	73170
84473	226005	50343	50	104694
226171	294603	5350	6	16359
72096	232845	43486	61	133659
269153	266225	136288	132	309114
15704	206715	19707	63	125600
167109	112534	86728	134	297629
297021	158486	66809	121	267243
75385	246318	69263	42	96078
188521	31228	31756	75	164222
199019	87599	28378	67	149180
279595	159334	47308	82	141987
90301	41820	85940	111	224437
43396	44941	14247	1	3202
249435	137510	55203	98	214541
234652	282920	17746	25	57180
144830	10183	18038	22	46181
147136	265250	14739	27	41877
124873	179845	25699	57	117487
7114	286458	27919	39	83756
90893	133941	91488	96	205471
300319	311211	18199	52	109770
70687	174283	66875	72	135561
9656	77035	59522	120	261289
263014	163731	8483	3	9298
227071	168738	22545	65	144511
129948	214586	36761	76	167683
250051	169950	32140	77	167527
20983	213214	42189	27	63255
188557	235539	21861	51	106603
187720	52281	62629	119	264225
260468	244610	36126	98	202060
15070	131817	78087	134	283227
57163	278603	70410	131	262550
51780	247341	98904	135	290169
47484	136257	35025	6	17113
89037	94159	34022	69	161990
115804	55948	86166	118	265246
270600	89521	86365	143	293963
204439	28403	75810	122	280886
11318	17703	66614	133	263916
138138	174136	31203	18	43266
273062	85371	48830	109	223930
146932	216393	32183	73	170705
137621	19947	87565	126	283978
198779	115033	38147	99	203132
100007	48599	44988	102	208601
84070	293454	21565	32	77373
57447	142703	70985	73	169491
48906	77533	71638	112	234420
120191	281320	25234	13	36426
62408	60802	116835	129	302303
237411	74217	60996	118	261478
204989	84116	16341	21	49991
160274	191826	11395	28	58361
35748	202205	50657	106	197610
167418	300080	25173	76	133054
239525	104119	30885	80	175885
291356	36223	57085	115	253156
240348	78249	32108	79	177996
214776	17394	31556	94	164830
136491	75124	33082	9	23927
34612	205321	52907	68	151243
138560	66715	75350	132	278458
67057	161585	74115	17	47237
182140	271542	63591	112	258038
113317	232528	19093	10	26111
78776	244123	107381	13	37722
311660	188571	26759	74	162614
116642	20952	71101	112	242165
140913	113180	89471	127	291130
91749	159681	57513	82	176532
55640	213753	42521	71	152315
162061	242420	36054	52	115323
54695	95535	62631	100	204651
155329	57577	31925	31	71811
122636	76794	57207	112	241083
286826	207654	11598	29	60285
18921	249414	77149	83	191185
92348	32463	61146	105	217496
110524	169476	86884	15	45962
245925	90808	53948	114	249708
119676	293115	71816	47	110536
284263	98953	20088	66	130064
145932	263176	41080	102	201947
226986	205205	16900	53	105220
259882	113025	38230	21	50411
175535	53158	38855	104	206084
173217	173424	22321	61	109529
1301	239415	57164	78	163562
224997	75528	83463	129	290383
37259	11897	56068	48	107282
297117	302999	10888	19	46719
161532	180432	23260	12	28858
102286	161614	90513	124	280477
124674	203968	22415	53	108862
247498	70483	86532	129	292395
92208	278254	23816	13	28777
88801	151077	18854	29	52664
158082	3579	40227	80	174919
124895	41637	36003	89	194540
89140	83600	69076	57	127849
199494	170650	36115	81	178459
294311	3534	23804	67	147458
257641	311068	118259	124	274424
64750	175072	64045	107	221805
242016	24680	105152	136	302393
171639	194988	41844	71	154439
95970	6972	45570	100	205535
53563	143584	96012	78	177500
102372	120585	67681	105	214443
37327	296244	64038	63	133051
245038	8509	61879	108	228039
18184	42023	34880	79	153156
264421	102325	17528	50	99744
3438	176405	15955	16	41177
126934	43215	46347	108	227572
