Node1 	Node2 	Distance	 Time	 Settled
141702	293233	30739	49	35284
112584	66356	113310	23	30944
148330	125187	90052	81	93186
30675	174335	46862	1347	65426
71929	188450	14095	9	11941
28008	185734	50026	53	49091
69923	14336	51738	19	17754
143223	280783	35832	26	27713
233116	62947	23929	10	13752
159701	26242	35496	10	14307
27113	153912	71028	15	20520
87020	293200	27437	56	47097
36566	257950	68640	28	36403
226919	112564	98445	66	75938
266644	127479	77044	33	40822
50923	33894	23492	1	1462
44314	29242	98494	131	98879
411	104126	116501	113	111072
221817	119685	44168	72	72239
108382	162828	54671	90	93547
302491	46046	37046	39	46261
112773	297673	43649	9	13038
13089	9728	52505	60	65240
145369	224639	14621	4	6678
168001	86555	17795	6	8435
24385	52291	36148	13	17304
5946	72917	29558	37	43257
124642	274416	9116	5	6635
301476	131234	69929	62	70410
126488	45570	92557	83	97873
155939	5031	43117	31	37749
140079	176334	64188	94	96143
311186	135082	43834	67	69198
230460	266826	10998	10	12950
57534	66163	131242	84	86742
283886	107457	29665	50	52876
82839	1604	49729	21	27117
221160	174269	26222	34	40754
223093	16077	25204	28	32915
60921	294999	83196	31	40546
281998	120643	32705	17	20092
24142	212174	19635	14	9615
50871	57944	66126	19	24435
112106	83410	46820	35	41453
77789	129432	44599	64	73916
240314	254757	59422	52	60959
74759	220340	72304	112	102987
50283	3098	63341	73	76136
165837	113694	32486	39	45952
58401	222883	34449	19	22931
251760	197832	22447	30	36049
9996	8337	52187	75	79242
205648	71964	86171	27	34263
215154	17076	22024	27	30642
92431	261029	73122	46	50020
223869	240294	19415	15	19169
306720	184577	24380	45	50090
94391	298343	52427	54	54506
232904	92245	58671	70	75788
180960	160425	19759	31	35334
233865	181880	14841	18	24437
66043	192772	21124	9	10433
37355	220733	63338	34	41520
287704	128112	81833	31	41274
144519	165931	15234	12	14659
302897	225006	22000	31	35712
64929	14377	74731	3	6648
260570	259164	39656	33	42018
110453	305238	105628	49	54541
8852	97271	19875	9	10650
18131	175413	62968	47	53346
280745	171313	16658	4	4860
312234	183029	11240	12	13283
95084	232359	41787	47	42703
188546	204495	14361	8	12115
136255	27180	78533	14	20456
109027	190891	29673	25	29362
262716	13043	48816	32	38151
145753	186762	20101	25	29954
84473	226005	49777	47	48656
