Node1 	Node2 	Distance	 Time	 Settled
141702	293233	30739	24	344
112584	66356	2147483647	1	7
148330	125187	2147483647	2	309
30675	174335	46862	4	318
71929	188450	14095	5	360
28008	185734	2147483647	4	5
69923	14336	2147483647	4	23
143223	280783	35832	8	383
233116	62947	2147483647	3	332
159701	26242	35496	5	400
27113	153912	71028	5	274
87020	293200	27437	5	319
36566	257950	2147483647	0	4
226919	112564	2147483647	3	205
266644	127479	2147483647	3	288
50923	33894	23492	5	314
44314	29242	2147483647	2	287
411	104126	2147483647	3	14
221817	119685	2147483647	3	241
108382	162828	54671	4	256
302491	46046	2147483647	3	291
112773	297673	2147483647	0	6
13089	9728	2147483647	3	12
145369	224639	2147483647	2	241
168001	86555	17795	6	334
24385	52291	36148	7	334
5946	72917	2147483647	4	420
124642	274416	9116	5	237
301476	131234	2147483647	3	350
126488	45570	2147483647	2	250
155939	5031	43117	33	304
140079	176334	64188	5	257
311186	135082	43834	6	258
230460	266826	10998	3	144
57534	66163	2147483647	0	32
283886	107457	2147483647	3	203
82839	1604	49729	7	345
221160	174269	26222	3	317
223093	16077	25204	5	258
60921	294999	2147483647	2	6
281998	120643	32705	7	326
24142	212174	2147483647	3	8
50871	57944	2147483647	3	12
112106	83410	2147483647	2	319
77789	129432	44599	6	336
240314	254757	2147483647	3	192
74759	220340	72304	5	299
50283	3098	2147483647	3	4
165837	113694	2147483647	3	11
58401	222883	34449	3	304
251760	197832	2147483647	3	5
9996	8337	2147483647	3	240
205648	71964	2147483647	3	241
215154	17076	22024	4	272
92431	261029	2147483647	1	7
223869	240294	19415	5	337
306720	184577	2147483647	2	259
94391	298343	2147483647	2	14
232904	92245	58671	5	262
180960	160425	19759	5	282
233865	181880	2147483647	3	283
66043	192772	21124	5	313
37355	220733	63338	5	273
287704	128112	2147483647	3	319
144519	165931	15234	5	272
302897	225006	22000	5	253
64929	14377	2147483647	3	3
260570	259164	39656	5	226
110453	305238	2147483647	3	14
8852	97271	2147483647	4	350
18131	175413	2147483647	1	17
280745	171313	16658	4	251
312234	183029	2147483647	2	2
95084	232359	2147483647	2	12
188546	204495	2147483647	2	4
136255	27180	2147483647	1	3
109027	190891	29673	5	282
262716	13043	2147483647	3	248
145753	186762	20101	3	255
84473	226005	2147483647	3	18
226171	294603	2147483647	3	257
72096	232845	42060	5	295
269153	266225	2147483647	1	10
15704	206715	2147483647	3	266
167109	112534	2147483647	3	361
297021	158486	2147483647	3	245
75385	246318	2147483647	2	14
188521	31228	27877	4	247
199019	87599	27110	5	372
279595	159334	44999	5	333
90301	41820	2147483647	3	293
43396	44941	14247	4	251
249435	137510	2147483647	3	370
234652	282920	16602	4	267
144830	10183	17530	5	280
147136	265250	2147483647	1	6
124873	179845	2147483647	2	252
7114	286458	27487	5	331
90893	133941	2147483647	2	290
300319	311211	17371	5	266
70687	174283	2147483647	1	4
9656	77035	58091	6	288
263014	163731	8216	5	274
227071	168738	2147483647	3	242
129948	214586	36211	5	248
250051	169950	2147483647	3	359
20983	213214	39589	4	313
188557	235539	2147483647	3	7
187720	52281	2147483647	3	246
260468	244610	2147483647	3	326
15070	131817	75598	5	296
57163	278603	69606	4	265
51780	247341	2147483647	2	261
47484	136257	32829	5	247
89037	94159	31996	5	249
115804	55948	2147483647	1	7
270600	89521	2147483647	3	345
204439	28403	2147483647	2	250
11318	17703	64073	5	327
138138	174136	30876	4	405
273062	85371	2147483647	3	355
146932	216393	30552	5	243
137621	19947	2147483647	3	327
198779	115033	36000	5	260
100007	48599	41696	6	323
84070	293454	21008	4	267
57447	142703	2147483647	3	7
48906	77533	70248	5	268
120191	281320	2147483647	2	326
62408	60802	2147483647	1	12
237411	74217	56995	6	220
204989	84116	16059	6	318
160274	191826	2147483647	3	3
35748	202205	2147483647	3	256
167418	300080	2147483647	3	347
239525	104119	30057	5	193
291356	36223	2147483647	3	9
240348	78249	2147483647	0	3
214776	17394	30883	5	278
136491	75124	2147483647	3	343
34612	205321	2147483647	2	20
138560	66715	2147483647	3	379
67057	161585	2147483647	2	15
182140	271542	2147483647	3	4
113317	232528	2147483647	2	215
78776	244123	2147483647	3	2
311660	188571	25587	5	247
116642	20952	2147483647	3	255
140913	113180	2147483647	2	231
91749	159681	2147483647	2	271
55640	213753	2147483647	3	311
162061	242420	35903	5	330
54695	95535	59729	5	383
155329	57577	2147483647	3	351
122636	76794	2147483647	3	245
286826	207654	11240	5	244
18921	249414	2147483647	1	3
92348	32463	2147483647	1	264
110524	169476	2147483647	3	12
245925	90808	53420	5	246
119676	293115	2147483647	2	267
284263	98953	20019	5	289
145932	263176	2147483647	1	2
226986	205205	15969	5	237
259882	113025	36413	5	245
175535	53158	2147483647	2	199
173217	173424	21725	4	194
1301	239415	2147483647	2	3
224997	75528	2147483647	2	211
37259	11897	2147483647	2	10
297117	302999	2147483647	2	267
161532	180432	2147483647	2	368
102286	161614	2147483647	2	319
124674	203968	2147483647	2	247
247498	70483	2147483647	4	255
92208	278254	22804	4	326
88801	151077	2147483647	2	231
158082	3579	39416	5	333
124895	41637	35805	5	241
89140	83600	2147483647	2	251
199494	170650	2147483647	2	296
294311	3534	22673	4	181
257641	311068	2147483647	0	21
64750	175072	2147483647	2	222
242016	24680	2147483647	2	298
171639	194988	41087	5	392
95970	6972	44374	5	253
53563	143584	2147483647	0	8
102372	120585	2147483647	19	17
37327	296244	2147483647	2	20
245038	8509	60115	5	305
18184	42023	34869	5	312
264421	102325	2147483647	2	253
3438	176405	15027	5	300
126934	43215	45422	5	226
218011	15859	2147483647	3	341
302360	227569	33416	5	347
110931	264752	51859	5	264
189097	2549	2147483647	18	250
248632	231999	2147483647	2	19
128878	301401	2147483647	1	76
30238	151421	2147483647	1	4
154573	2081	2147483647	2	331
250004	35151	39065	5	313
42464	13534	2147483647	3	64
237754	267375	2147483647	2	205
184520	274581	11746	28	164
124220	167815	2147483647	3	1
49447	139936	2147483647	2	19
35381	34436	84806	5	287
276217	55363	41416	5	223
108301	262230	42079	5	328
26527	63967	67105	6	364
214133	202592	13802	5	193
110858	308474	38555	5	336
143845	58273	30883	5	229
153895	299866	2147483647	2	340
10454	68166	2147483647	2	254
284204	12330	2147483647	1	180
216055	44913	44765	4	288
240036	192558	26725	5	409
290336	286133	2896	5	198
31643	223294	2147483647	3	8
38491	604	2147483647	3	3
136992	6221	41190	4	260
158290	150287	33712	3	321
292741	284227	5644	5	334
8749	251110	2147483647	1	8
156267	82217	32093	5	378
196383	160360	9471	5	348
96142	181323	21137	5	255
291053	256878	2147483647	3	333
28567	172710	2147483647	2	35
188055	76503	9651	6	258
36234	305481	2147483647	3	14
217422	106048	2147483647	3	291
180972	117039	20027	6	342
151795	263631	12581	5	219
57260	90259	44278	5	237
258619	127110	2147483647	3	313
36380	172389	59935	5	324
187279	45761	2147483647	3	14
208440	259887	66423	6	250
257508	57825	2147483647	1	6
70154	196499	2147483647	3	13
115077	217849	2147483647	3	230
187918	111394	27933	5	238
216454	287691	2147483647	1	3
15919	277675	2147483647	2	331
161075	9705	2147483647	2	3
163977	15474	42831	5	279
32400	238654	2147483647	3	327
83158	130011	2147483647	4	356
173181	78804	2147483647	2	363
239006	55070	2147483647	0	3
221611	272605	2147483647	3	344
309933	311037	2147483647	2	126
21700	135187	53947	5	259
165283	53517	2147483647	24	323
116260	189626	2147483647	2	338
250434	233753	11931	3	256
169065	21584	2147483647	3	343
207317	252488	9371	2	162
37482	149600	55280	6	329
254407	105999	2147483647	3	298
262971	73241	2147483647	2	179
272833	57534	58875	5	208
164797	239393	2147483647	3	6
205338	217519	11486	5	287
12255	55744	52035	5	275
218566	294887	2147483647	3	290
9150	298057	14512	5	226
119743	102239	2147483647	3	3
1394	192020	2147483647	0	9
184958	291902	12001	5	273
79049	17305	2147483647	3	12
306601	256159	2147483647	3	216
300501	67846	2147483647	3	236
218764	151631	28754	6	299
53258	85598	2147483647	2	4
87456	41242	2147483647	3	324
80375	88556	2147483647	2	288
219903	162987	48087	5	376
303237	220112	30771	5	244
56204	189749	2147483647	4	9
287208	101318	2147483647	2	3
8979	12630	2147483647	3	352
213846	187012	12269	5	359
36795	154970	2147483647	2	15
134142	161378	2147483647	3	358
198966	207804	6974	5	258
202263	40404	2147483647	3	2
204422	71223	25795	6	399
198886	274254	2147483647	3	261
124658	285965	2147483647	2	240
225670	153149	16957	6	228
186230	40168	52215	6	246
92600	15118	2147483647	3	35
145248	151993	38914	5	225
302223	236053	2147483647	2	255
50872	243197	2147483647	3	10
289384	55769	38074	5	304
82329	7559	31979	6	247
230423	228747	2147483647	2	221
82673	104207	31547	6	277
53170	165981	2147483647	2	10
288016	29819	48548	5	294
40745	65281	2147483647	1	14
287458	142226	20710	5	185
239375	4126	9962	5	240
220848	131445	44429	6	341
301548	247221	2147483647	1	4
307888	284412	2147483647	3	208
143065	66000	43733	4	244
269483	240684	34735	4	396
286436	224022	19389	5	224
184560	130711	2147483647	2	270
156644	110545	2147483647	0	14
186845	311954	19188	5	248
15062	102727	2147483647	2	246
147836	256467	2147483647	0	8
192617	276318	2147483647	3	312
84459	84053	62436	5	321
213568	279724	36494	5	329
136665	52660	2147483647	2	256
97803	299596	2147483647	3	307
265231	62086	45157	6	322
135069	292657	2147483647	2	273
234066	6374	2147483647	3	208
18036	222123	2147483647	3	306
25108	281780	2147483647	3	350
227930	196624	6488	4	262
211087	116755	2147483647	3	294
200329	17709	55486	5	190
269875	275577	2147483647	2	269
275197	273906	17775	4	193
167411	29543	2147483647	3	355
254439	245438	104989	4	298
258128	97336	82424	3	267
277016	269318	2147483647	3	362
39796	7408	2147483647	3	27
245952	306067	2147483647	3	205
286642	24228	2147483647	3	290
26556	192631	30886	7	323
250603	151715	9129	7	297
212979	127795	31126	5	289
229708	223303	15676	5	277
50759	273795	2147483647	3	4
119623	236470	32509	5	361
242575	8492	43154	5	184
287818	126303	2147483647	1	189
35254	183038	47022	4	336
100106	89957	2147483647	3	21
65292	116358	2147483647	0	11
121872	126941	3387	5	238
23931	153617	2147483647	3	387
55009	274897	2147483647	2	389
189250	37851	2147483647	2	4
58904	158996	2147483647	1	3
92259	175887	62176	4	241
44842	243956	2147483647	2	328
126491	18543	2147483647	3	265
73477	125468	49719	6	312
231227	201946	11505	3	263
247685	159694	2147483647	3	352
87620	260191	2147483647	2	300
250584	207616	14028	5	204
206650	223905	28817	5	253
51649	267410	2147483647	2	304
140728	6329	2147483647	3	330
131646	132854	2147483647	3	362
202738	208624	7501	4	241
280083	83632	2147483647	3	268
54609	157328	2147483647	1	7
8336	156782	73373	5	333
120434	275353	39826	5	304
110111	249416	2147483647	1	8
26973	1354	2147483647	3	10
266591	303831	2147483647	2	243
108899	103553	2147483647	3	331
199754	95280	2147483647	3	15
235653	54352	2147483647	3	272
9910	133272	2147483647	1	187
160834	53929	2147483647	2	258
46536	160766	2147483647	1	15
119944	291057	2147483647	3	304
33633	242247	37397	5	325
114518	187659	39747	5	259
272070	151122	24988	4	283
244740	200860	2147483647	14	327
311001	247568	2147483647	2	193
92041	56264	2147483647	4	6
86204	82856	2147483647	2	264
59895	137763	67854	5	294
135727	10640	33958	3	247
203730	17792	67320	7	296
216036	36521	40452	5	257
222923	163026	31365	5	311
296657	74650	2147483647	3	328
71632	141641	2147483647	0	10
259419	120615	2147483647	2	259
103239	191798	23385	5	318
117494	272938	2147483647	2	285
94501	249292	74866	5	416
305525	62093	53550	6	279
72460	297432	2147483647	2	8
24732	138267	18554	5	346
101405	43578	2147483647	3	7
228969	210466	2147483647	0	4
142014	197880	2147483647	4	15
192141	311277	2147483647	3	321
65774	201705	2147483647	2	4
183134	204436	12889	6	259
12786	235554	2147483647	0	2
301056	160295	2147483647	3	3
11592	117433	68890	5	178
264586	5935	22103	5	234
92214	115349	2147483647	3	22
140031	195033	2147483647	0	2
6439	262372	32418	5	352
130996	141508	51823	4	240
3626	90159	20463	4	215
265392	138723	35997	4	268
156489	203529	43413	5	311
50854	45601	2147483647	0	10
168955	70737	2147483647	0	3
196843	260830	58406	6	275
202893	142260	34553	6	323
69375	138992	2147483647	3	13
24703	49148	2147483647	1	5
252898	62153	44864	5	324
49473	281022	2147483647	3	34
157551	191420	2147483647	3	231
74334	293376	2147483647	2	3
105573	233029	16041	5	243
125362	170819	2147483647	2	234
47517	283158	50820	4	252
303859	213466	17573	5	274
153707	229205	2147483647	1	17
81223	118948	38346	5	260
93317	181118	2147483647	3	21
20666	307208	2147483647	2	319
126640	167062	2147483647	3	40
245906	53762	2147483647	3	254
271403	243104	46749	4	268
156375	47230	2147483647	2	327
304204	129867	22485	5	206
230751	307446	27271	4	218
219316	194111	2147483647	2	331
78835	203177	2147483647	1	3
209410	112160	2147483647	3	308
225175	54045	2147483647	2	335
22654	146812	2147483647	3	246
175911	268283	2147483647	3	290
242178	150078	10373	5	227
242769	52593	54442	4	122
7784	222506	39872	5	330
112430	40958	2147483647	0	10
310855	259809	52684	6	260
99892	218228	2147483647	2	284
184548	255266	27446	6	292
47213	52643	2147483647	0	1
149548	244619	2147483647	3	5
191653	95250	2147483647	2	246
100250	67626	2147483647	3	317
205511	211800	2147483647	2	250
266873	243712	2147483647	3	363
29197	219445	52721	5	367
81338	207043	15232	5	117
277083	81057	2147483647	3	325
100450	262890	2147483647	3	239
160978	302816	63376	5	239
264905	199863	2147483647	2	225
87725	125125	12364	5	203
141322	240436	36403	5	380
40140	172207	2147483647	2	26
294724	167187	2147483647	2	187
103672	166535	2147483647	3	5
280444	119120	2147483647	2	389
63763	51332	2147483647	2	274
67911	10308	2147483647	4	21
51854	141057	66996	5	264
73846	270957	2147483647	1	4
148708	26922	2147483647	3	352
271098	179235	27393	4	249
302605	84293	35615	8	453
17565	113069	37484	6	295
250888	307436	2147483647	3	247
206065	186957	2147483647	3	251
9897	260012	21533	5	269
31197	46175	51710	6	356
264507	57182	58224	5	253
21542	96270	2147483647	2	313
297168	131754	2147483647	2	239
245363	114236	2147483647	3	8
232239	178974	24129	5	238
75591	126102	2147483647	1	62
