Node1 	Node2 	Distance	 Time	 Settled
141702	293233	30739	66	107778
112584	66356	113310	121	249276
148330	125187	90052	89	230348
30675	174335	46862	67	171413
71929	188450	14095	11	35364
28008	185734	50026	49	124244
69923	14336	51738	17	50113
143223	280783	35832	72	188910
233116	62947	23929	56	138293
159701	26242	35496	54	140450
27113	153912	71028	16	52386
87020	293200	27437	53	134418
36566	257950	68640	103	258799
226919	112564	98445	118	301887
266644	127479	77044	109	287052
50923	33894	23492	4	11509
44314	29242	98494	110	290807
411	104126	116501	100	260389
221817	119685	44168	96	232074
108382	162828	54671	99	237605
302491	46046	37046	87	211322
112773	297673	43649	13	39464
13089	9728	52505	68	177344
145369	224639	14621	17	47512
168001	86555	17795	30	82651
24385	52291	36148	63	160076
5946	72917	29558	64	176691
124642	274416	9116	7	22718
301476	131234	69929	107	273203
126488	45570	92557	117	297547
155939	5031	43117	91	214181
140079	176334	64188	94	228444
311186	135082	43834	90	225479
230460	266826	10998	19	56364
57534	66163	131242	113	296103
283886	107457	29665	71	177604
82839	1604	49729	103	235033
221160	174269	26222	46	113087
223093	16077	25204	58	151098
60921	294999	83196	29	84725
281998	120643	32705	34	89848
24142	212174	19635	9	29871
50871	57944	66126	65	176820
112106	83410	46820	62	166710
77789	129432	44599	93	220430
240314	254757	59422	129	267358
74759	220340	72304	93	238846
50283	3098	63341	92	226500
165837	113694	32486	70	180616
58401	222883	34449	15	46269
251760	197832	22447	49	121943
9996	8337	52187	97	242527
205648	71964	86171	133	299769
215154	17076	22024	55	139337
92431	261029	73122	94	240615
223869	240294	19415	22	64599
306720	184577	24380	64	159132
94391	298343	52427	47	129984
232904	92245	58671	107	264917
180960	160425	19759	44	118024
233865	181880	14841	29	82298
66043	192772	21124	7	22104
37355	220733	63338	86	200295
287704	128112	81833	115	298095
144519	165931	15234	20	58932
302897	225006	22000	54	140154
64929	14377	74731	8	24222
260570	259164	39656	92	222619
110453	305238	105628	36	99411
8852	97271	19875	32	84178
18131	175413	62968	66	133255
280745	171313	16658	4	15651
312234	183029	11240	15	42675
95084	232359	41787	32	94740
188546	204495	14361	19	51160
136255	27180	78533	111	287962
109027	190891	29673	28	78002
262716	13043	48816	91	227356
145753	186762	20101	30	81517
84473	226005	49777	47	111847
226171	294603	5319	4	13676
72096	232845	42060	52	137141
269153	266225	133779	130	309547
15704	206715	18388	48	129898
167109	112534	82580	114	300091
297021	158486	64318	119	273085
75385	246318	68549	37	102455
188521	31228	27877	58	160292
199019	87599	27110	59	154967
279595	159334	44999	56	152186
90301	41820	85751	87	213185
43396	44941	14247	2	3969
249435	137510	53412	95	219785
234652	282920	16602	21	60737
144830	10183	17530	24	55049
147136	265250	14572	16	48160
124873	179845	25153	53	119005
7114	286458	27487	31	88681
90893	133941	90631	88	217389
300319	311211	17371	41	109549
70687	174283	66148	54	143442
9656	77035	58091	107	267302
263014	163731	8216	2	4538
227071	168738	22066	60	154102
129948	214586	36211	67	177342
250051	169950	30635	85	172590
20983	213214	39589	23	68163
188557	235539	21263	47	113973
187720	52281	62343	111	269436
260468	244610	35737	87	211320
15070	131817	75598	108	285741
57163	278603	69606	106	267879
51780	247341	96929	128	293860
47484	136257	32829	7	16830
89037	94159	31996	58	151709
115804	55948	84408	105	268017
270600	89521	83016	130	296770
204439	28403	72625	110	286173
11318	17703	64073	105	271026
138138	174136	30876	15	48230
273062	85371	48776	104	235667
146932	216393	30552	66	167765
137621	19947	83606	106	287920
198779	115033	36000	89	205621
100007	48599	41696	86	209373
84070	293454	21008	28	81074
57447	142703	69477	66	175965
48906	77533	70248	99	239414
120191	281320	25021	14	43230
62408	60802	115847	115	304008
237411	74217	56995	124	259756
204989	84116	16059	21	56940
160274	191826	10439	23	59330
35748	202205	49990	93	206080
167418	300080	24989	50	135800
239525	104119	30057	66	183068
291356	36223	55622	102	260079
240348	78249	31092	70	184762
214776	17394	30883	64	175839
136491	75124	32440	12	31213
34612	205321	52159	59	156273
138560	66715	74637	108	278412
67057	161585	71974	15	47104
182140	271542	61269	105	260429
113317	232528	17220	8	26159
78776	244123	105614	11	38708
311660	188571	25587	63	160378
116642	20952	66308	99	250432
140913	113180	86975	109	292492
91749	159681	56363	69	184400
55640	213753	41299	61	155506
162061	242420	35903	49	126668
54695	95535	59729	97	202751
155329	57577	30283	28	81371
122636	76794	54490	110	247288
286826	207654	11240	24	69372
18921	249414	76524	92	204266
92348	32463	59116	89	194300
110524	169476	86611	15	48732
245925	90808	53420	106	258403
119676	293115	71664	44	116503
284263	98953	20019	53	129890
145932	263176	39509	88	207455
226986	205205	15969	41	106902
259882	113025	36413	20	52909
175535	53158	36605	96	212257
173217	173424	21725	44	111971
1301	239415	56623	67	171875
224997	75528	82695	116	292854
37259	11897	55363	45	118291
297117	302999	10272	11	33533
161532	180432	22808	10	30164
102286	161614	88782	109	284564
124674	203968	20605	44	108065
247498	70483	84034	115	294419
92208	278254	22804	14	35135
88801	151077	16183	19	52251
158082	3579	39416	73	186450
124895	41637	35805	75	192861
89140	83600	67946	55	145437
199494	170650	36005	70	188763
294311	3534	22673	59	150582
257641	311068	117043	106	274807
64750	175072	63104	94	229317
242016	24680	103666	118	303282
171639	194988	41087	64	163990
95970	6972	44374	96	214636
53563	143584	92104	63	174423
102372	120585	66458	90	218809
37327	296244	63521	55	144324
245038	8509	60115	99	231090
18184	42023	34869	60	146583
264421	102325	16795	46	114092
3438	176405	15027	14	45752
126934	43215	45422	106	224454
218011	15859	3522	0	1206
302360	227569	33416	62	160810
110931	264752	51859	44	116435
189097	2549	82541	120	285602
248632	231999	71875	69	180938
128878	301401	79635	53	137864
30238	151421	135948	70	180362
154573	2081	69182	114	283649
250004	35151	39065	85	197088
42464	13534	66906	4	15827
237754	267375	59467	105	270287
184520	274581	11746	25	66163
124220	167815	71252	27	75673
49447	139936	95445	47	127016
35381	34436	84806	106	258346
276217	55363	41416	90	222631
108301	262230	42079	88	186818
26527	63967	67105	105	268202
214133	202592	13802	29	83224
110858	308474	38555	31	87432
143845	58273	30883	75	178758
153895	299866	15441	9	25783
10454	68166	76187	112	282618
284204	12330	33517	84	201020
216055	44913	44765	107	228901
240036	192558	26725	55	142675
290336	286133	2896	2	3667
31643	223294	139179	70	189681
38491	604	76985	97	243475
136992	6221	41190	86	201171
158290	150287	33712	31	86946
292741	284227	5644	5	17658
8749	251110	128243	25	84476
156267	82217	32093	65	164946
196383	160360	9471	5	18066
96142	181323	21137	35	92765
291053	256878	45582	97	236496
28567	172710	63765	46	126142
188055	76503	9651	11	31235
36234	305481	47241	23	66411
217422	106048	64564	105	266189
180972	117039	20027	47	122128
151795	263631	12581	25	63745
57260	90259	44278	59	152809
258619	127110	31386	33	91094
36380	172389	59935	85	204995
187279	45761	19197	34	92465
208440	259887	66423	106	270882
257508	57825	56656	65	173461
70154	196499	111326	29	83360
115077	217849	38942	82	189599
187918	111394	27933	62	163065
216454	287691	21162	35	91546
15919	277675	64242	111	263850
161075	9705	101900	60	167373
163977	15474	42831	88	209365
32400	238654	22978	9	29557
83158	130011	13575	2	7142
173181	78804	126511	131	309865
239006	55070	54740	113	257790
221611	272605	20670	29	83598
309933	311037	4006	3	7989
21700	135187	53947	96	221057
165283	53517	70347	114	287859
116260	189626	32287	15	43467
250434	233753	11931	12	29131
169065	21584	60367	108	266134
207317	252488	9371	13	40621
37482	149600	55280	69	184063
254407	105999	123829	109	289565
262971	73241	32371	71	195068
272833	57534	58875	106	269848
164797	239393	103236	66	177888
205338	217519	11486	21	62877
12255	55744	52035	8	25745
218566	294887	28477	25	60480
9150	298057	14512	39	81836
119743	102239	28836	48	124825
1394	192020	79028	94	228013
184958	291902	12001	25	71110
79049	17305	17862	27	71014
306601	256159	48753	98	241594
300501	67846	58320	108	266575
218764	151631	28754	27	78034
53258	85598	142570	109	276591
87456	41242	52819	98	231389
80375	88556	57805	103	235887
219903	162987	48087	108	223928
303237	220112	30771	68	188700
56204	189749	73041	95	243070
287208	101318	22912	58	152236
8979	12630	83988	116	299437
213846	187012	12269	13	40262
36795	154970	78168	99	242997
134142	161378	67553	109	261604
198966	207804	6974	6	19522
202263	40404	66619	107	271103
204422	71223	25795	59	156870
198886	274254	24824	56	155340
124658	285965	147737	120	311243
225670	153149	16957	52	117519
186230	40168	52215	102	246547
92600	15118	44381	36	92146
145248	151993	38914	86	205624
302223	236053	37577	64	123119
50872	243197	50428	21	60439
289384	55769	38074	96	216667
82329	7559	31979	51	133620
230423	228747	6726	8	22270
82673	104207	31547	33	91419
53170	165981	51846	71	190351
288016	29819	48548	94	242428
40745	65281	144528	115	309448
287458	142226	20710	50	132698
239375	4126	9962	12	36153
220848	131445	44429	82	188877
301548	247221	101606	111	302608
307888	284412	2832	1	5143
143065	66000	43733	95	228966
269483	240684	34735	32	87005
286436	224022	19389	57	138203
184560	130711	69879	109	277147
156644	110545	127955	121	308885
186845	311954	19188	41	105338
15062	102727	21589	53	130610
147836	256467	32140	5	18044
192617	276318	17055	18	52076
84459	84053	62436	103	217257
213568	279724	36494	72	196307
136665	52660	122495	116	307878
97803	299596	25508	45	109373
265231	62086	45157	95	238422
135069	292657	33517	51	124523
234066	6374	37963	92	217383
18036	222123	63440	73	195913
25108	281780	57303	100	251533
227930	196624	6488	5	16159
211087	116755	34449	78	196257
200329	17709	55486	101	252714
269875	275577	32263	61	149187
275197	273906	17775	32	89942
167411	29543	77987	115	296570
254439	245438	104989	97	251719
258128	97336	82424	70	190405
277016	269318	28677	35	96949
39796	7408	79496	97	246302
245952	306067	51419	102	254034
286642	24228	13731	28	74000
26556	192631	30886	13	41724
250603	151715	9129	26	49787
212979	127795	31126	69	186032
229708	223303	15676	24	67694
50759	273795	124712	103	261483
119623	236470	32509	44	115707
242575	8492	43154	96	225597
287818	126303	21357	54	141866
35254	183038	47022	52	137972
