Node1 	Node2 	Distance	 Time	 Settled
141702	293233	40523	80	96471
112584	66356	142192	25	39329
148330	125187	109249	89	159884
30675	174335	60858	35	66140
71929	188450	24256	22	43058
28008	185734	57676	74	53709
69923	14336	68638	8	23884
143223	280783	54410	57	133860
233116	62947	32198	6	15122
159701	26242	42385	5	16297
27113	153912	96933	31	83996
87020	293200	41100	27	66083
36566	257950	86148	17	45783
226919	112564	162562	121	292196
266644	127479	131589	115	276252
50923	33894	31001	0	727
44314	29242	124957	131	300893
411	104126	136679	134	196716
221817	119685	61423	64	149114
108382	162828	70828	60	137960
302491	46046	42807	107	245477
112773	297673	49099	11	28711
13089	9728	58962	28	68284
145369	224639	18267	12	31414
168001	86555	19811	78	182750
24385	52291	48055	8	23416
5946	72917	40768	45	99878
124642	274416	10890	3	6402
301476	131234	93027	76	173027
126488	45570	118829	157	260359
155939	5031	53104	24	59550
140079	176334	87417	77	174992
311186	135082	53020	40	90552
230460	266826	11814	7	13588
57534	66163	188504	120	294438
283886	107457	39066	37	89469
82839	1604	67121	55	126062
221160	174269	30568	12	31192
223093	16077	33343	24	62015
60921	294999	94044	23	59262
281998	120643	42171	6	17722
24142	212174	23638	12	34480
50871	57944	96801	16	43472
112106	83410	64599	51	114037
77789	129432	55049	46	106987
240314	254757	86272	152	271047
74759	220340	88192	70	159726
50283	3098	75523	58	130847
165837	113694	40445	80	184927
58401	222883	44266	6	20433
251760	197832	39268	50	116664
9996	8337	62911	55	124128
205648	71964	151155	121	307622
215154	17076	31586	21	51999
92431	261029	92200	18	48841
223869	240294	22587	8	20477
306720	184577	28869	34	83364
94391	298343	66176	48	111409
232904	92245	72949	110	153748
180960	160425	30693	44	98352
233865	181880	21315	21	50046
66043	192772	34978	5	17012
37355	220733	81551	21	54960
287704	128112	131024	112	274692
144519	165931	18930	10	29292
302897	225006	24892	10	25883
64929	14377	83132	1	3185
260570	259164	47910	27	66389
110453	305238	116844	14	39131
8852	97271	33824	58	130183
18131	175413	81073	23	59455
280745	171313	29152	3	8537
312234	183029	15868	6	17377
95084	232359	55378	10	29401
188546	204495	16864	8	24513
136255	27180	101038	118	280876
109027	190891	49614	32	77260
262716	13043	62514	54	129118
145753	186762	25875	11	30079
84473	226005	61088	25	62586
226171	294603	11332	23	57824
72096	232845	53053	28	68977
269153	266225	159767	160	298143
15704	206715	20454	55	123091
167109	112534	134336	103	254120
297021	158486	78677	120	292855
75385	246318	86574	27	67609
188521	31228	49209	26	64632
199019	87599	41774	45	101119
279595	159334	55475	10	25354
90301	41820	93844	134	275451
43396	44941	14731	1	1323
249435	137510	64143	55	112648
234652	282920	23933	20	27882
144830	10183	20088	4	6395
147136	265250	16118	9	11566
124873	179845	29632	95	94056
7114	286458	31372	70	33208
90893	133941	110542	34	44208
300319	311211	21637	79	87957
70687	174283	78110	49	52762
9656	77035	75129	107	122494
263014	163731	8666	67	142253
227071	168738	28352	71	73458
129948	214586	46045	55	101441
250051	169950	39711	40	76352
20983	213214	57009	32	38175
188557	235539	25962	33	80360
187720	52281	83428	95	206444
260468	244610	48479	64	77012
15070	131817	91479	79	119951
57163	278603	85387	57	123209
51780	247341	130588	25	66087
47484	136257	44256	1	3768
89037	94159	43774	174	226468
115804	55948	102389	91	183453
270600	89521	97370	79	101574
204439	28403	102592	98	208361
11318	17703	80694	97	195289
138138	174136	45189	11	29724
273062	85371	60824	98	160463
146932	216393	41898	112	163493
137621	19947	101240	18	43745
198779	115033	48406	86	108323
100007	48599	54159	125	142226
84070	293454	25596	39	45887
57447	142703	85452	90	96566
48906	77533	86293	147	156667
120191	281320	28225	5	10765
62408	60802	195782	230	292887
237411	74217	67334	253	260843
204989	84116	18950	14	31430
160274	191826	15991	14	27303
35748	202205	59419	79	145275
167418	300080	29198	62	118893
239525	104119	36798	40	79469
291356	36223	71784	201	200559
240348	78249	40443	68	83770
214776	17394	36412	52	76927
136491	75124	36951	44	94608
34612	205321	65068	45	96203
138560	66715	89011	119	259806
67057	161585	86794	10	28061
182140	271542	87752	119	231848
113317	232528	22681	6	14771
78776	244123	111587	5	14975
311660	188571	47644	70	143798
116642	20952	82622	98	194718
140913	113180	101805	178	301282
91749	159681	73423	54	74223
55640	213753	48909	23	53235
162061	242420	42790	27	48929
54695	95535	86088	91	149088
155329	57577	36428	2	8574
122636	76794	64285	18	26946
286826	207654	15360	7	15375
18921	249414	96498	39	63797
92348	32463	70305	163	275652
110524	169476	100683	13	31632
245925	90808	67853	74	114143
119676	293115	82929	32	79757
284263	98953	22226	103	175737
145932	263176	56041	71	121553
226986	205205	25423	46	83197
259882	113025	47007	6	16481
175535	53158	47693	36	79115
173217	173424	28372	40	74767
1301	239415	61006	21	44860
224997	75528	146762	179	289677
37259	11897	66285	11	30100
297117	302999	13992	71	150841
161532	180432	32519	19	48113
102286	161614	168213	127	288997
124674	203968	27759	27	66380
247498	70483	135763	123	289908
92208	278254	27754	1	5287
88801	151077	25506	11	28713
158082	3579	54800	76	114181
124895	41637	43383	98	209939
89140	83600	131457	24	64173
199494	170650	43520	45	104459
294311	3534	31100	68	154624
257641	311068	140440	118	274599
64750	175072	84151	117	166739
242016	24680	142563	127	304854
171639	194988	52703	49	112481
95970	6972	62425	57	128616
53563	143584	113774	46	107110
102372	120585	84068	60	125202
37327	296244	77985	36	86055
245038	8509	84712	67	152275
18184	42023	43157	200	233255
264421	102325	28016	25	26990
3438	176405	20590	16	17512
126934	43215	61293	254	255982
218011	15859	9444	1	815
302360	227569	42897	72	98846
