Node1 	Node2 	Distance	 Time	 Settled
141702	293233	31344	111	110330
112584	66356	114580	139	236656
148330	125187	92220	162	229075
30675	174335	47818	72	162342
71929	188450	15310	15	38407
28008	185734	50893	52	117745
69923	14336	53700	17	48000
143223	280783	37003	78	181072
233116	62947	24964	54	123906
159701	26242	36627	54	127649
27113	153912	72615	22	55353
87020	293200	30138	59	133250
36566	257950	70050	112	249009
226919	112564	99793	168	299493
266644	127479	78471	117	280124
50923	33894	23492	3	8025
44314	29242	99770	121	290939
411	104126	117527	117	256633
221817	119685	45189	104	222621
108382	162828	57179	145	233226
302491	46046	37619	101	215235
112773	297673	43767	14	35708
13089	9728	53194	72	169234
145369	224639	15239	19	47111
168001	86555	18157	42	93753
24385	52291	36323	64	141484
5946	72917	30404	72	167287
124642	274416	9918	8	22906
301476	131234	71234	128	271139
126488	45570	93832	134	292910
155939	5031	43169	208	194729
140079	176334	65257	137	222493
311186	135082	44666	118	218081
230460	266826	11334	20	49821
57534	66163	134706	318	294925
283886	107457	30616	81	167610
82839	1604	51843	127	226748
221160	174269	27135	56	107333
223093	16077	25796	70	142190
60921	294999	84300	35	81619
281998	120643	33028	77	74438
24142	212174	22076	32	37032
50871	57944	68143	121	152547
112106	83410	51814	100	178327
77789	129432	45538	105	213247
240314	254757	63216	133	269850
74759	220340	74905	142	237943
50283	3098	63653	183	217210
165837	113694	32920	83	176236
58401	222883	35719	16	42855
251760	197832	22639	56	111225
9996	8337	52894	165	235831
205648	71964	87220	138	296944
215154	17076	23626	66	133958
92431	261029	73906	127	228737
223869	240294	19720	29	59858
306720	184577	24628	72	148218
94391	298343	54607	62	130150
232904	92245	60117	135	261142
180960	160425	21518	68	121729
233865	181880	15249	35	75383
66043	192772	21572	6	18241
37355	220733	64591	84	184356
287704	128112	82782	183	294472
144519	165931	17110	31	64976
302897	225006	22262	64	132776
64929	14377	74739	6	17032
260570	259164	39931	111	212012
110453	305238	106076	41	91642
8852	97271	22903	45	94644
18131	175413	64520	60	125942
280745	171313	17319	4	14274
312234	183029	12962	20	44928
95084	232359	44727	43	89489
188546	204495	14361	22	45378
136255	27180	83505	145	284940
109027	190891	31651	35	74036
262716	13043	51857	110	225092
145753	186762	20312	35	73170
84473	226005	50343	55	104694
226171	294603	5350	8	16359
72096	232845	43486	100	133659
269153	266225	136288	147	309114
15704	206715	19707	74	125600
167109	112534	86728	184	297629
297021	158486	66809	136	267243
75385	246318	69263	44	96078
188521	31228	31756	82	164222
199019	87599	28378	70	149180
279595	159334	47308	90	141987
90301	41820	85940	121	224437
43396	44941	14247	1	3202
249435	137510	55203	160	214541
234652	282920	17746	58	57180
144830	10183	18038	26	46181
147136	265250	14739	18	41877
124873	179845	25699	78	117487
7114	286458	27919	47	83756
90893	133941	91488	105	205471
300319	311211	18199	66	109770
70687	174283	66875	76	135561
9656	77035	59522	127	261289
263014	163731	8483	4	9298
227071	168738	22545	71	144511
129948	214586	36761	87	167683
250051	169950	32140	82	167527
20983	213214	42189	27	63255
188557	235539	21861	64	106603
187720	52281	62629	158	264225
260468	244610	36126	106	202060
15070	131817	78087	141	283227
57163	278603	70410	132	262550
51780	247341	98904	142	290169
47484	136257	35025	6	17113
89037	94159	34022	76	161990
115804	55948	86166	128	265246
270600	89521	86365	144	293963
204439	28403	75810	177	280886
11318	17703	66614	138	263916
138138	174136	31203	18	43266
273062	85371	48830	116	223930
146932	216393	32183	81	170705
137621	19947	87565	140	283978
198779	115033	38147	105	203132
100007	48599	44988	121	208601
84070	293454	21565	33	77373
57447	142703	70985	83	169491
48906	77533	71638	126	234420
120191	281320	25234	15	36426
62408	60802	116835	173	302303
237411	74217	60996	131	261478
204989	84116	16341	22	49991
160274	191826	11395	26	58361
35748	202205	50657	107	197610
167418	300080	25173	65	133054
239525	104119	30885	84	175885
291356	36223	57085	126	253156
240348	78249	32108	89	177996
214776	17394	31556	84	164830
136491	75124	33082	9	23927
34612	205321	52907	75	151243
138560	66715	75350	157	278458
67057	161585	74115	19	47237
182140	271542	63591	171	258038
113317	232528	19093	10	26111
78776	244123	107381	12	37722
311660	188571	26759	78	162614
116642	20952	71101	131	242165
140913	113180	89471	153	291130
91749	159681	57513	88	176532
55640	213753	42521	75	152315
162061	242420	36054	57	115323
54695	95535	62631	112	204651
155329	57577	31925	34	71811
122636	76794	57207	131	241083
286826	207654	11598	31	60285
18921	249414	77149	131	191185
92348	32463	61146	111	217496
110524	169476	86884	18	45962
245925	90808	53948	127	249708
119676	293115	71816	53	110536
284263	98953	20088	64	130064
145932	263176	41080	110	201947
226986	205205	16900	52	105220
259882	113025	38230	22	50411
175535	53158	38855	106	206084
173217	173424	22321	56	109529
1301	239415	57164	82	163562
224997	75528	83463	148	290383
37259	11897	56068	50	107282
297117	302999	10888	21	46719
161532	180432	23260	13	28858
102286	161614	90513	172	280477
124674	203968	22415	58	108862
247498	70483	86532	135	292395
92208	278254	23816	13	28777
88801	151077	18854	25	52664
158082	3579	40227	91	174919
124895	41637	36003	98	194540
89140	83600	69076	60	127849
199494	170650	36115	88	178459
294311	3534	23804	72	147458
257641	311068	118259	133	274424
64750	175072	64045	120	221805
242016	24680	105152	219	302393
171639	194988	41844	80	154439
95970	6972	45570	110	205535
53563	143584	96012	87	177500
102372	120585	67681	107	214443
37327	296244	64038	77	133051
245038	8509	61879	119	228039
18184	42023	34880	78	153156
264421	102325	17528	54	99744
3438	176405	15955	23	41177
126934	43215	46347	118	227572
218011	15859	3522	1	920
302360	227569	33852	78	153295
110931	264752	53058	56	109368
189097	2549	84156	148	280441
248632	231999	72232	88	172394
128878	301401	80784	63	129803
30238	151421	139050	90	176678
154573	2081	70283	149	282200
250004	35151	41885	118	189906
42464	13534	67924	7	15036
237754	267375	62159	155	266721
184520	274581	12990	36	67576
124220	167815	71882	30	68907
49447	139936	95998	50	107212
35381	34436	88331	137	253096
276217	55363	45118	116	222986
108301	262230	44368	92	183808
26527	63967	68826	137	261744
214133	202592	13813	37	79780
110858	308474	38933	39	83950
143845	58273	31586	75	161044
153895	299866	16395	10	26416
10454	68166	77386	141	279892
284204	12330	34539	94	194020
216055	44913	45394	115	220185
240036	192558	27516	69	137339
290336	286133	2986	1	2381
31643	223294	141965	92	183851
38491	604	78238	127	238594
136992	6221	41709	92	191102
158290	150287	35446	41	83726
292741	284227	5715	10	13869
8749	251110	129404	32	77807
156267	82217	32961	77	154833
196383	160360	11725	10	17960
96142	181323	22275	44	82446
291053	256878	47106	129	242196
28567	172710	68075	64	128932
188055	76503	9989	15	35664
36234	305481	47856	27	61752
217422	106048	69579	132	263654
180972	117039	21294	61	122652
151795	263631	12637	29	57491
57260	90259	44856	59	110884
258619	127110	34474	47	97479
36380	172389	62175	105	191379
187279	45761	19520	52	100882
208440	259887	69407	134	269597
257508	57825	58693	72	147054
70154	196499	113150	40	79329
115077	217849	40545	99	180732
187918	111394	32686	80	166857
216454	287691	22419	46	96242
15919	277675	65238	132	260412
161075	9705	102276	75	159424
163977	15474	45327	111	207929
32400	238654	26122	14	34241
83158	130011	14910	3	6794
173181	78804	126585	148	308746
239006	55070	56065	127	252441
221611	272605	21389	49	83342
309933	311037	4347	5	8411
21700	135187	54018	109	209716
165283	53517	72356	136	284042
116260	189626	33968	17	40353
250434	233753	12786	12	25189
169065	21584	61795	137	264522
207317	252488	9432	15	33590
37482	149600	55557	88	171231
254407	105999	125304	148	287143
262971	73241	33057	88	180244
272833	57534	61572	143	264379
164797	239393	104318	85	173690
205338	217519	12003	28	59360
12255	55744	52195	8	20574
218566	294887	29411	30	59367
9150	298057	15523	38	78738
119743	102239	30413	61	120346
1394	192020	80283	114	225518
184958	291902	12099	28	62036
79049	17305	19737	34	72401
