Node1 	Node2 	Distance	 Time	 Settled
141702	293233	30739	149	107697
112584	66356	113310	222	249095
148330	125187	90052	233	230251
30675	174335	46862	144	171345
71929	188450	14095	24	35308
28008	185734	50026	98	124123
69923	14336	51738	34	50026
143223	280783	35832	145	188690
233116	62947	23929	107	138023
159701	26242	35496	109	140216
27113	153912	71028	36	52333
87020	293200	27437	104	134302
36566	257950	68640	254	258666
226919	112564	98445	226	301863
266644	127479	77044	216	286928
50923	33894	23492	6	11429
44314	29242	98494	220	290788
411	104126	116501	232	260308
221817	119685	44168	240	231917
108382	162828	54671	193	237527
302491	46046	37088	168	211326
112773	297673	43649	29	39371
13089	9728	52505	135	177247
145369	224639	14621	33	47433
168001	86555	17845	72	83317
24385	52291	36148	120	159825
5946	72917	29558	136	176544
124642	274416	9116	15	22684
301476	131234	69929	210	273176
126488	45570	92557	260	297500
155939	5031	43117	170	213949
140079	176334	64188	183	228356
311186	135082	43834	178	225379
230460	266826	10998	43	56236
57534	66163	131242	216	296054
283886	107457	29665	135	177454
82839	1604	49733	182	234903
221160	174269	26222	133	112925
223093	16077	25204	119	150953
60921	294999	83196	67	84645
281998	120643	32705	67	89618
24142	212174	19635	20	29811
50871	57944	66126	135	176576
112106	83410	46820	128	166577
77789	129432	44599	175	220325
240314	254757	59422	211	267276
74759	220340	72304	181	238797
50283	3098	63341	222	226377
165837	113694	32486	131	180250
58401	222883	34449	34	46203
251760	197832	22447	97	121808
9996	8337	52187	193	242437
205648	71964	86171	221	299727
215154	17076	22024	102	139171
92431	261029	73122	186	240504
223869	240294	19415	47	64496
306720	184577	24405	119	159114
94391	298343	52427	99	129905
232904	92245	58671	249	264822
180960	160425	19759	102	117941
233865	181880	14867	59	82373
66043	192772	21124	13	22055
37355	220733	63338	162	200095
287704	128112	81833	228	298069
144519	165931	15234	46	58817
302897	225006	22000	108	140063
64929	14377	74731	15	24136
260570	259164	39656	179	222486
110453	305238	105632	70	99295
8852	97271	19875	69	84035
18131	175413	62968	99	133138
280745	171313	16658	11	15624
312234	183029	11240	30	42587
95084	232359	41787	69	94679
188546	204495	14361	77	51055
136255	27180	78533	212	287918
109027	190891	29673	56	77892
262716	13043	48816	180	227245
145753	186762	20101	61	81369
84473	226005	49777	84	111676
226171	294603	5319	12	13650
72096	232845	42060	108	137034
269153	266225	133781	243	309539
15704	206715	18388	99	129752
167109	112534	82580	227	300049
297021	158486	64318	240	272930
75385	246318	68549	85	102367
188521	31228	27877	134	160113
199019	87599	27110	138	154805
279595	159334	44999	117	151861
90301	41820	85751	165	213036
43396	44941	14247	2	3964
249435	137510	53412	170	219670
234652	282920	16603	42	60658
144830	10183	17530	41	54913
147136	265250	14572	35	48101
124873	179845	25153	102	118953
7114	286458	27487	66	88604
90893	133941	90631	172	217224
300319	311211	17375	81	109630
70687	174283	66148	149	143357
9656	77035	58091	210	267217
263014	163731	8216	3	4517
227071	168738	22066	119	154011
129948	214586	36211	134	177186
250051	169950	30635	128	172452
20983	213214	39589	50	68067
188557	235539	21263	91	113847
187720	52281	62343	205	269387
260468	244610	35737	166	211189
15070	131817	75598	209	285765
57163	278603	69606	249	267798
51780	247341	96950	233	293835
47484	136257	32829	12	16809
89037	94159	31996	112	151580
115804	55948	84408	207	267971
270600	89521	83018	222	296720
204439	28403	72625	226	285981
11318	17703	64073	225	270817
138138	174136	30879	33	48188
273062	85371	48776	186	235487
146932	216393	30552	157	167612
137621	19947	83606	221	287818
198779	115033	36000	163	205505
100007	48599	41696	165	209364
84070	293454	21008	63	80993
57447	142703	69477	127	175835
48906	77533	70248	186	239315
120191	281320	25021	30	43160
62408	60802	115847	228	303993
237411	74217	56995	200	259679
204989	84116	16059	39	56840
160274	191826	10445	78	59239
35748	202205	50016	161	206050
167418	300080	24989	99	135676
239525	104119	30057	140	182857
291356	36223	55622	203	259969
240348	78249	31120	139	184750
214776	17394	30883	133	175716
136491	75124	32440	19	31139
34612	205321	52185	114	156339
138560	66715	74642	212	278310
67057	161585	71974	29	47226
182140	271542	61269	198	260311
113317	232528	17240	19	26183
78776	244123	105614	25	38673
311660	188571	25587	159	160229
116642	20952	66363	190	250355
140913	113180	86975	222	292471
91749	159681	56363	140	184218
55640	213753	41299	119	155410
162061	242420	35903	97	126542
54695	95535	59729	165	202603
155329	57577	30283	60	81078
122636	76794	54490	205	247138
286826	207654	11240	51	69263
18921	249414	76524	165	204086
92348	32463	59116	174	193840
110524	169476	86611	31	48652
245925	90808	53420	198	258309
119676	293115	71664	96	116422
284263	98953	20019	97	129564
145932	263176	39509	180	207334
226986	205205	15969	96	106747
259882	113025	36413	44	52814
175535	53158	36607	173	212090
173217	173424	21725	84	111845
1301	239415	56623	130	171732
224997	75528	82695	220	292815
37259	11897	55363	85	118130
297117	302999	10272	25	33462
161532	180432	22808	20	30108
102286	161614	88787	271	284507
124674	203968	20605	84	107934
247498	70483	84034	221	294387
92208	278254	22804	24	35070
88801	151077	16183	38	52182
158082	3579	39416	146	186279
124895	41637	35805	141	192599
89140	83600	67946	111	144736
199494	170650	36005	142	188633
294311	3534	22673	115	150463
257641	311068	117043	211	274785
64750	175072	63104	183	229249
242016	24680	103666	227	303264
171639	194988	41087	127	163827
95970	6972	44374	171	214515
53563	143584	92104	128	174289
102372	120585	66458	167	218762
37327	296244	63521	107	144179
245038	8509	60115	180	231028
18184	42023	34869	125	146237
264421	102325	16799	95	113943
3438	176405	15027	32	45669
126934	43215	45431	178	224443
218011	15859	3522	1	1204
302360	227569	33416	130	160692
110931	264752	51859	89	116343
189097	2549	82542	232	285503
248632	231999	71875	133	180867
128878	301401	79635	103	137709
30238	151421	135948	141	180236
154573	2081	69182	224	283593
250004	35151	39065	158	196918
42464	13534	66906	8	15825
237754	267375	59474	209	270208
184520	274581	11746	47	66068
124220	167815	71252	54	75597
49447	139936	95445	95	126758
35381	34436	84806	202	258234
276217	55363	41416	175	222536
108301	262230	42079	143	186718
26527	63967	67105	217	268023
214133	202592	13802	65	83122
110858	308474	38555	67	87361
143845	58273	30883	140	178508
153895	299866	15441	18	25836
10454	68166	76187	217	282580
284204	12330	33517	161	200900
216055	44913	44765	180	228798
240036	192558	26753	114	142702
290336	286133	2896	3	3655
31643	223294	139179	142	189559
38491	604	76985	193	243423
136992	6221	41190	164	201038
158290	150287	33712	67	86831
292741	284227	5644	13	17619
8749	251110	128243	56	84376
156267	82217	32093	123	164733
196383	160360	9476	12	18025
96142	181323	21137	67	92642
291053	256878	45582	197	236367
28567	172710	63765	109	125874
188055	76503	9654	23	30867
36234	305481	47241	47	66345
217422	106048	64572	211	266038
180972	117039	20027	91	121990
151795	263631	12581	53	63674
57260	90259	44278	118	152243
258619	127110	31386	69	90964
36380	172389	59935	167	204781
187279	45761	19197	67	92002
208440	259887	66423	210	270851
257508	57825	56656	130	173165
70154	196499	111326	63	83234
115077	217849	38942	152	189478
187918	111394	27933	129	162865
216454	287691	21162	72	91455
15919	277675	64242	205	263816
161075	9705	101900	125	167262
163977	15474	42831	172	209237
32400	238654	22978	20	29502
83158	130011	13575	6	7129
173181	78804	126511	237	309851
239006	55070	54740	203	257686
221611	272605	20670	72	83471
309933	311037	4006	5	7952
21700	135187	53947	172	220982
165283	53517	70351	219	287733
116260	189626	32287	30	43402
250434	233753	11933	24	29078
169065	21584	60367	213	266067
207317	252488	9371	30	40541
37482	149600	55280	141	183867
254407	105999	123839	216	289516
262971	73241	32371	146	194846
272833	57534	58875	207	269714
164797	239393	103236	133	177783
205338	217519	11486	48	62744
12255	55744	52035	17	25678
218566	294887	28481	44	60386
9150	298057	14512	58	81814
119743	102239	28836	96	124653
1394	192020	79028	177	227966
184958	291902	12001	51	70995
79049	17305	17862	59	70890
306601	256159	48753	192	241460
300501	67846	58320	204	266464
218764	151631	28754	61	77910
53258	85598	142570	210	276514
87456	41242	52819	199	231096
80375	88556	57805	184	235821
219903	162987	48087	182	223786
303237	220112	30771	139	188596
56204	189749	73041	195	242994
287208	101318	22912	118	152129
8979	12630	83988	221	299396
213846	187012	12269	29	40176
36795	154970	78168	201	242925
134142	161378	67553	203	261454
198966	207804	6974	13	19489
202263	40404	66619	210	271071
204422	71223	25795	118	156749
198886	274254	24824	121	155161
124658	285965	147737	231	311241
225670	153149	16957	94	117385
186230	40168	52215	195	246462
92600	15118	44381	67	92057
145248	151993	38914	170	205480
302223	236053	37577	98	122946
50872	243197	50428	51	60348
289384	55769	38074	168	216514
82329	7559	31979	101	133421
230423	228747	6726	16	22218
82673	104207	31547	65	91167
53170	165981	51846	140	190270
288016	29819	48548	193	242333
40745	65281	144553	230	309442
287458	142226	20710	102	132558
239375	4126	9962	25	36095
220848	131445	44429	155	188621
301548	247221	101606	231	302573
307888	284412	2832	5	5134
143065	66000	43733	182	228844
269483	240684	34760	66	87092
286436	224022	19389	107	138052
184560	130711	69879	219	277040
156644	110545	127955	234	308878
186845	311954	19192	80	105040
15062	102727	21589	97	130431
147836	256467	32140	12	18011
192617	276318	17055	41	51974
84459	84053	62436	174	217115
213568	279724	36496	148	196140
136665	52660	122495	232	307863
97803	299596	25508	85	109258
265231	62086	45157	187	238276
135069	292657	33517	97	124419
234066	6374	37963	173	217247
18036	222123	63440	150	195832
25108	281780	57303	197	251362
227930	196624	6488	12	16109
211087	116755	34449	148	196089
200329	17709	55486	194	252607
269875	275577	32263	116	149013
275197	273906	17775	64	89782
167411	29543	77987	225	296556
254439	245438	104989	205	251647
258128	97336	82424	144	190186
277016	269318	28677	74	96727
39796	7408	79496	195	246259
245952	306067	51419	198	254016
286642	24228	13731	62	73861
26556	192631	30886	32	41649
250603	151715	9129	38	49673
212979	127795	31132	140	185932
229708	223303	15676	46	67590
50759	273795	124712	214	261386
119623	236470	32509	92	115575
242575	8492	43154	181	225473
287818	126303	21357	111	141729
35254	183038	47047	108	138026
100106	89957	107963	218	279474
65292	116358	147553	205	272442
121872	126941	3387	0	870
23931	153617	37618	144	190728
55009	274897	64084	182	223853
189250	37851	39140	174	208051
58904	158996	72011	194	248225
92259	175887	62176	151	194288
44842	243956	34748	66	90815
126491	18543	25001	114	150828
73477	125468	49719	144	196005
231227	201946	11505	43	60911
247685	159694	60587	137	178847
87620	260191	39073	173	206305
250584	207616	14028	69	93230
206650	223905	28817	147	173502
51649	267410	93357	223	293132
140728	6329	23102	25	34319
131646	132854	9128	2	3598
202738	208624	7501	14	20381
280083	83632	100243	227	300319
54609	157328	94849	174	217194
8336	156782	73373	208	275667
120434	275353	39826	146	184511
110111	249416	65066	14	23224
26973	1354	109184	188	242993
266591	303831	13139	50	68106
108899	103553	1853	1	319
199754	95280	28184	123	158081
235653	54352	34810	168	206760
9910	133272	24810	117	146906
160834	53929	55744	207	248172
46536	160766	77667	77	105620
119944	291057	32402	67	91674
33633	242247	37397	54	63357
114518	187659	39747	123	152753
272070	151122	24988	64	88047
244740	200860	34403	75	78482
311001	247568	12294	57	76836
92041	56264	153321	264	302062
86204	82856	82669	185	235185
59895	137763	67866	182	239007
135727	10640	33958	109	139938
203730	17792	67320	215	272800
216036	36521	40452	179	223691
222923	163026	31365	143	184706
296657	74650	77715	232	293846
71632	141641	48378	146	196256
259419	120615	14348	3	4783
103239	191798	23385	86	108312
117494	272938	67588	79	107893
94501	249292	74866	191	247567
305525	62093	53550	202	255775
72460	297432	42754	104	138021
24732	138267	18554	15	20435
101405	43578	30573	31	42295
228969	210466	139302	128	174410
142014	197880	31969	59	80525
192141	311277	136529	237	310078
65774	201705	135277	116	159891
183134	204436	12889	62	81032
12786	235554	91115	116	152369
301056	160295	18616	98	127735
11592	117433	68890	211	281703
264586	5935	22103	57	80131
92214	115349	35558	125	154983
140031	195033	86205	136	177118
6439	262372	32418	81	103031
130996	141508	51823	194	237744
3626	90159	20463	103	135014
265392	138723	35997	172	211356
156489	203529	43413	144	190103
50854	45601	105332	223	277206
168955	70737	54051	204	254700
196843	260830	58406	205	263874
202893	142260	34553	139	185600
69375	138992	59541	59	76699
24703	49148	74039	25	36304
252898	62153	44864	101	134171
49473	281022	89311	99	131951
157551	191420	48272	182	228526
74334	293376	123254	98	131886
105573	233029	16041	47	59109
125362	170819	41198	151	196569
47517	283158	50820	70	97346
303859	213466	17573	97	124110
153707	229205	22252	90	112219
81223	118948	38346	24	36706
93317	181118	49763	77	104820
20666	307208	34151	134	172179
126640	167062	72259	35	51791
245906	53762	49936	196	250986
271403	243104	46749	63	88921
156375	47230	62465	213	265921
304204	129867	22485	111	155595
230751	307446	27271	122	153938
219316	194111	40224	134	173514
78835	203177	49089	13	22245
